,SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS
13,42009,1610612757,Portland Trail Blazers,6,2,4,0.333,48.0,33.0,76.8,0.43,6.3,16.7,0.38,20.7,28.0,0.738,10.8,26.5,37.3,19.5,11.0,6.0,4.3,4.2,23.2,24.2,93.0,-10.3,10,Portland Trail Blazers
14,42009,1610612759,San Antonio Spurs,10,4,6,0.4,48.0,36.4,78.5,0.464,4.8,14.2,0.338,18.5,26.6,0.695,10.1,31.0,41.1,19.2,12.7,6.8,4.3,4.5,21.0,22.6,96.1,-3.4,10,San Antonio Spurs
15,42009,1610612762,Utah Jazz,10,4,6,0.4,48.0,38.1,79.5,0.479,6.5,17.4,0.374,24.4,33.5,0.728,10.9,28.7,39.6,23.8,13.2,5.9,4.4,5.8,27.0,27.2,107.1,-2.2,10,Utah Jazz
0,42010,1610612737,Atlanta Hawks,12,6,6,0.5,48.0,32.9,75.8,0.434,4.5,13.9,0.323,15.9,21.9,0.726,9.0,28.2,37.2,18.1,12.4,6.3,5.0,5.3,20.3,20.0,86.3,-4.4,10,Atlanta Hawks
1,42010,1610612738,Boston Celtics,9,5,4,0.556,48.6,35.8,76.9,0.465,7.4,16.0,0.465,15.7,20.1,0.779,8.9,30.1,39.0,21.0,15.7,7.3,4.2,6.4,21.9,19.7,94.7,1.3,10,Boston Celtics
2,42010,1610612741,Chicago Bulls,16,9,7,0.563,48.3,34.0,80.6,0.422,6.3,19.2,0.329,18.2,23.2,0.784,13.4,30.2,43.6,20.1,13.6,7.3,6.6,6.4,21.3,19.6,92.5,4.3,10,Chicago Bulls
3,42010,1610612742,Dallas Mavericks,21,16,5,0.762,48.2,34.5,74.9,0.461,8.8,22.2,0.394,20.5,25.4,0.809,9.7,28.7,38.4,20.1,12.9,7.1,4.1,5.1,20.1,21.6,98.2,5.8,10,Dallas Mavericks
4,42010,1610612743,Denver Nuggets,5,1,4,0.2,48.0,32.6,77.0,0.423,6.8,18.4,0.37,25.4,36.0,0.706,7.4,30.6,38.0,17.6,12.2,6.6,3.6,8.6,23.8,25.0,97.4,-4.8,10,Denver Nuggets
5,42010,1610612754,Indiana Pacers,5,1,4,0.2,48.0,32.8,80.2,0.409,5.8,15.4,0.377,18.8,24.4,0.77,13.0,25.4,38.4,16.0,15.2,8.2,5.6,7.6,23.0,22.2,90.2,-7.4,10,Indiana Pacers
6,42010,1610612747,Los Angeles Lakers,10,4,6,0.4,48.0,34.7,77.8,0.446,4.8,16.6,0.289,19.0,24.5,0.776,12.6,28.3,40.9,18.9,12.5,6.9,5.1,3.7,20.6,21.6,93.2,-1.3,10,Los Angeles Lakers
