SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PTS,PLUS_MINUS
41997,1610612763,Vancouver Grizzlies,82,19,63,0.232,48.4,36.7,80.1,0.458,4,11,0.362,19.3,26.2,0.739,13.2,28.2,41.4,23.9,17.1,7.5,4.3,6.6,22.1,96.6,-7.3
41997,1610612764,Washington Wizards,82,42,40,0.512,48.3,37.6,83.1,0.452,3.9,11.5,0.339,18.2,26.3,0.691,13.7,28.5,42.2,23.2,14.1,8.4,4.6,4.5,22.4,97.2,0.6
41998,1610612737,Atlanta Hawks,50,31,19,0.62,48.3,30.8,75.2,0.409,3.9,12.9,0.306,20.8,28.4,0.731,13.5,30,43.5,15.6,14.9,6.9,5.2,4.9,19.7,86.3,2.9
41998,1610612738,Boston Celtics,50,19,31,0.38,48.6,36.3,83.3,0.436,5.5,15.2,0.36,14.9,21.5,0.692,13.6,29.2,42.8,21.5,16.1,9.1,5.1,5.1,23.9,93,-1.9
41998,1610612766,Charlotte Hornets,50,26,24,0.52,48.6,33.4,74.4,0.449,5.4,14.7,0.365,20.7,27.7,0.747,9.6,29.9,39.5,22.2,15.9,8.9,4.9,4.6,22,92.9,-0.1
41998,1610612741,Chicago Bulls,50,13,37,0.26,48.3,30.8,76.7,0.401,3.5,12.2,0.29,16.8,23.7,0.709,11.5,27.9,39.3,20.3,15.5,8.7,3.4,5.7,22.2,81.9,-9.5
41998,1610612739,Cleveland Cavaliers,50,22,28,0.44,48.2,31.2,71.2,0.439,3.6,10.7,0.341,20.3,27.1,0.749,9.4,26.3,35.8,21.9,15.7,9,4.1,5.6,24.2,86.4,-1.7
41998,1610612742,Dallas Mavericks,50,19,31,0.38,48.3,35,80.6,0.434,4,11.9,0.339,17.6,24.2,0.728,12.9,29.6,42.5,18.4,13.8,7,5.8,4.9,21.3,91.6,-2.4
41998,1610612743,Denver Nuggets,50,14,36,0.28,48.1,33.6,79.8,0.421,6,18.4,0.328,20.2,26.5,0.762,12.9,27.8,40.8,19.4,14.8,7.5,5.5,5.5,22.9,93.5,-6.6
41998,1610612765,Detroit Pistons,50,29,21,0.58,48.2,33.2,74.3,0.447,5,13.6,0.365,19,25.7,0.74,12.1,28.2,40.3,20.2,15.8,8.9,4.2,4.5,22.8,90.4,3.4
41998,1610612744,Golden State Warriors,50,21,29,0.42,48.5,34.6,83.5,0.415,3.2,11.3,0.287,15.9,23.5,0.676,16.3,31.2,47.5,20.7,15.4,8.3,4.4,6.1,25.4,88.3,-2.5
41998,1610612745,Houston Rockets,50,31,19,0.62,48.3,35.1,76,0.462,6.7,18.3,0.368,17.3,23.7,0.729,10.7,30.8,41.5,21.2,16.2,7.7,5.2,4.9,19.2,94.2,2.3
41998,1610612754,Indiana Pacers,50,33,17,0.66,48.4,34.6,77.3,0.448,5.9,16,0.368,19.5,24.6,0.796,11.5,29,40.5,20.1,13,6.3,4.5,4.8,21.6,94.7,3.7
41998,1610612746,Los Angeles Clippers,50,9,41,0.18,48.5,34.2,80.1,0.427,4.3,13.4,0.32,17.7,24.5,0.721,13.3,25.9,39.2,16.4,15.9,8.5,4.7,5.8,24.5,90.4,-8.8
41998,1610612747,Los Angeles Lakers,50,31,19,0.62,48.2,36.8,78.7,0.468,4.8,13.7,0.352,20.5,30.1,0.683,12.3,29.6,42,21.9,15.1,7.8,5.7,3.9,24.6,99,3
41998,1610612748,Miami Heat,50,33,17,0.66,48.1,32.3,71.3,0.453,5.8,16.1,0.359,18.6,25.2,0.735,10.1,30.2,40.3,20.4,14.9,6.5,6.1,3.8,20.7,89,5
41998,1610612749,Milwaukee Bucks,50,28,22,0.56,48.2,35.1,76.4,0.459,4.6,12.4,0.373,16.9,23.1,0.733,11.4,27.4,38.8,20.6,14.4,8.8,4,3.9,22.8,91.7,1.7
41998,1610612750,Minnesota Timberwolves,50,25,25,0.5,48.1,36.8,86.5,0.425,2.4,8.2,0.298,17,22.9,0.743,15.1,27.8,42.9,24.4,12.8,8.5,5.4,5.2,23.7,92.9,0.4
41998,1610612751,New Jersey Nets,50,16,34,0.32,48.2,33.8,83.2,0.406,4.5,13.6,0.331,19.2,25,0.769,14.3,28.7,43,18.4,15,9.8,5.5,6.5,22.6,91.3,-3.8
41998,1610612752,New York Knicks,50,27,23,0.54,48.4,32.2,74.1,0.435,4.2,11.8,0.353,17.8,24.4,0.732,11,30.2,41.2,19.3,16.1,7.9,5.2,4.3,22.8,86.4,1
41998,1610612753,Orlando Magic,50,33,17,0.66,48.2,33.7,78.9,0.428,4.5,13.5,0.33,17.5,25,0.7,13.8,28.9,42.7,21.3,16.4,9.9,4.3,4.8,18.7,89.5,2.6
41998,1610612755,Philadelphia 76ers,50,28,22,0.56,48.6,33.1,77.7,0.426,2,7.4,0.264,21.5,29.7,0.722,14.6,28.6,43.1,18.7,16.4,10.8,5.4,5.3,23,89.7,2.1
41998,1610612756,Phoenix Suns,50,27,23,0.54,48.2,35.9,80.1,0.449,5.2,14,0.372,18.5,24.3,0.76,12,28.4,40.3,25,13.6,8.9,4,4.1,20.4,95.6,2.3
41998,1610612757,Portland Trail Blazers,50,35,15,0.7,48.7,34.9,79.1,0.442,4.9,13.5,0.364,20,27,0.743,12.9,31.4,44.3,21.5,15.4,8.2,5.8,4.9,22.5,94.8,6.4
41998,1610612758,Sacramento Kings,50,27,23,0.54,48.8,38.4,86.1,0.445,5.8,18.9,0.308,17.7,25.9,0.683,14.1,31.5,45.6,22.6,16.8,8.9,4.6,4.4,20.3,100.2,-0.4
41998,1610612759,San Antonio Spurs,50,37,13,0.74,48.3,34.8,76.2,0.456,3.4,10.4,0.33,19.8,28.3,0.698,12.3,31.7,44,22,15.2,8.4,7,4.9,20.2,92.8,8.1
41998,1610612760,Seattle SuperSonics,50,25,25,0.5,48.4,35.1,79.5,0.442,6.2,18,0.344,18.4,27.1,0.681,13.5,28.4,42,21.7,15.3,7.9,4,4.5,20.9,94.9,-1.1
41998,1610612761,Toronto Raptors,50,23,27,0.46,48.3,33.2,78.8,0.421,4.5,13.2,0.341,20.2,26.6,0.76,14.2,28.9,43.2,20.7,16,8.8,6.4,5.2,22.8,91.1,-1.6
41998,1610612762,Utah Jazz,50,37,13,0.74,48.7,33.7,72.4,0.465,2.8,7.8,0.361,23.2,30.2,0.767,11.1,30.2,41.3,24.1,16.3,8,5.5,5.3,22.7,93.3,6.5
41998,1610612763,Vancouver Grizzlies,50,8,42,0.16,48.7,32.9,76.8,0.428,3,9.1,0.327,20.2,28.2,0.717,13,27.2,40.2,19.3,17,8.4,4,6.6,22.5,88.9,-8.7
41998,1610612764,Washington Wizards,50,18,32,0.36,48.2,35.4,79.4,0.445,3.6,11.6,0.309,16.9,24,0.705,11.9,28.1,40,21.3,14.7,7.9,3.9,4.2,23,91.2,-2.2
41999,1610612737,Atlanta Hawks,82,28,54,0.341,48.4,36.6,83,0.441,3.1,9.9,0.317,18,24.2,0.743,14,31.3,45.3,18.9,15.4,6.1,5.6,4.9,21,94.3,-5.4
41999,1610612738,Boston Celtics,82,35,47,0.427,48.1,37.2,83.9,0.444,5.1,15.4,0.331,19.8,26.5,0.745,13.5,29.5,43,21.2,15.4,9.7,3.5,5.8,27.1,99.3,-0.8
41999,1610612766,Charlotte Hornets,82,49,33,0.598,48.2,35.8,79.7,0.449,4.1,12.2,0.339,22.7,30,0.758,10.8,32.1,42.9,24.7,14.7,8.9,5.9,5.1,20.4,98.4,2.7
41999,1610612741,Chicago Bulls,82,17,65,0.207,48.3,31.3,75.4,0.415,4.1,12.6,0.329,18.1,25.5,0.709,12.6,28.3,40.9,20,19,7.9,4.7,5.6,23.3,84.8,-9.4
41999,1610612739,Cleveland Cavaliers,82,32,50,0.39,48.4,36.3,82.1,0.442,4.2,11.2,0.373,20.2,26.9,0.75,12.3,30.5,42.8,23.7,17.4,8.7,4.4,6.1,27.1,97,-3.5
41999,1610612742,Dallas Mavericks,82,40,42,0.488,48.1,39,85.9,0.453,6.3,16.2,0.391,17.2,21.4,0.804,11.4,29.8,41.2,22.1,13.7,7.2,5.1,5.1,21.6,101.4,-0.6
41999,1610612743,Denver Nuggets,82,35,47,0.427,48.4,37.3,84.3,0.442,5.7,17,0.336,18.7,25.8,0.724,13.1,31.6,44.7,23.3,15.6,6.8,7.5,5.6,23.9,99,-2.1
41999,1610612765,Detroit Pistons,82,42,40,0.512,48.4,37.1,80.9,0.459,5.4,14.9,0.359,23.9,30.6,0.781,11.2,30,41.2,20.8,15.7,8.1,3.3,4.8,24.5,103.5,1.4
41999,1610612744,Golden State Warriors,82,19,63,0.232,48.2,36.5,87.1,0.42,4.2,13,0.323,18.3,26.2,0.697,15.9,29.7,45.6,22.6,15.9,8.9,4.3,6,24.9,95.5,-8.3
41999,1610612745,Houston Rockets,82,34,48,0.415,48.4,36.6,81.3,0.45,7.1,19.8,0.358,19.2,26.2,0.733,12.3,31.5,43.8,21.6,17.4,7.5,5.3,5.3,20.3,99.5,-0.9
41999,1610612754,Indiana Pacers,82,56,26,0.683,48.1,37.2,81,0.459,7.1,18.1,0.392,19.9,24.5,0.811,10.3,31.9,42.1,22.6,14.1,6.8,5.1,3.9,21.8,101.3,4.6
41999,1610612746,Los Angeles Clippers,82,15,67,0.183,48.1,35.1,82.4,0.426,5.2,15.5,0.339,16.6,22.3,0.746,11.6,29,40.6,18,16.2,7,6,4.6,22.2,92,-11.5
41999,1610612747,Los Angeles Lakers,82,67,15,0.817,48.3,38.3,83.4,0.459,4.2,12.8,0.329,20.1,28.9,0.696,13.6,33.4,47,23.4,13.9,7.5,6.5,4.2,22.5,100.8,8.5
41999,1610612748,Miami Heat,82,52,30,0.634,48.4,36.3,78.8,0.46,5.4,14.7,0.371,16.4,22.3,0.736,11.2,31.9,43.2,23.5,15,7.1,6.4,4.4,23.7,94.4,3.1
41999,1610612749,Milwaukee Bucks,82,42,40,0.512,48.4,38.7,83.3,0.465,4.8,13,0.369,19,24.2,0.786,12.4,28.9,41.3,22.6,15,8.2,4.6,4.1,24.6,101.2,0.2
41999,1610612750,Minnesota Timberwolves,82,50,32,0.61,48.5,39.3,84.3,0.467,3,8.7,0.346,16.8,21.6,0.78,12.4,30.1,42.5,26.9,13.9,7.6,5.4,4.2,23.3,98.5,2.5
41999,1610612751,New Jersey Nets,82,31,51,0.378,48.4,36.3,83.9,0.433,5.8,16.8,0.347,19.5,24.9,0.784,12.7,28.2,40.9,20.6,13.6,8.8,4.8,5.7,23.3,98,-1
41999,1610612752,New York Knicks,82,50,32,0.61,48.4,35.3,77.7,0.455,4.3,11.4,0.375,17.2,22,0.781,9.8,30.7,40.5,19.4,14.6,6.3,4.3,4.3,24.2,92.1,1.5
41999,1610612753,Orlando Magic,82,41,41,0.5,48.2,38.6,85.5,0.452,3.6,10.6,0.338,19.2,26.1,0.735,14,31,44.9,20.8,17.6,9.1,5.7,5.8,24,100.1,0.7
41999,1610612755,Philadelphia 76ers,82,49,33,0.598,48.4,36.5,82.6,0.442,2.5,7.8,0.323,19.2,27.1,0.708,14,30.1,44.1,22.2,15.7,9.6,4.7,6.5,23.6,94.8,1.3
41999,1610612756,Phoenix Suns,82,53,29,0.646,48.3,37.7,82.6,0.457,5.6,15.2,0.368,17.9,23.6,0.759,12.5,31.2,43.7,25.6,16.7,9.1,5.3,5.2,24.1,98.9,5.2
41999,1610612757,Portland Trail Blazers,82,59,23,0.72,48.2,36.8,78.4,0.47,5,13.8,0.361,18.8,24.7,0.76,11.8,31.2,43,23.5,15.2,7.7,4.8,4.3,22.7,97.5,6.4
41999,1610612758,Sacramento Kings,82,44,38,0.537,48.3,40,88.9,0.45,6.5,20.2,0.322,18.5,24.6,0.754,12.9,32.1,45,23.8,16.2,9.6,4.6,4.9,21.1,105,2.9
41999,1610612759,San Antonio Spurs,82,53,29,0.646,48.4,36,78,0.462,4,10.8,0.374,20.1,27,0.746,11.3,32.5,43.8,22.2,15,7.5,6.7,5.2,20.9,96.2,5.9
41999,1610612760,Seattle SuperSonics,82,45,37,0.549,48.2,37.9,84.7,0.447,6.7,19.6,0.339,16.6,23.9,0.695,12.7,30.3,43,22.9,14,8,4.2,5.3,21.7,99.1,1
41999,1610612761,Toronto Raptors,82,45,37,0.549,48.2,36.3,83.9,0.433,5.2,14.3,0.363,19.3,25.2,0.765,13.4,29.9,43.3,23.7,13.9,8.1,6.6,5.3,24.3,97.2,-0.2
41999,1610612762,Utah Jazz,82,55,27,0.671,48.2,36.1,77.8,0.464,4,10.4,0.385,20.3,26.2,0.773,11.4,29.6,41,24.9,14.9,7.7,5.4,5,24.5,96.5,4.5
41999,1610612763,Vancouver Grizzlies,82,22,60,0.268,48.4,35.3,78.5,0.449,4,11,0.361,19.4,25.1,0.774,12.3,28.3,40.6,20.7,16.8,7.4,4.2,6.3,22.9,93.9,-5.6
41999,1610612764,Washington Wizards,82,29,53,0.354,48.3,36.7,81.5,0.45,4.1,10.9,0.376,19.1,25.7,0.743,13,29.7,42.7,21.6,16.1,7.2,4.7,6.1,26.2,96.6,-3.3
42000,1610612737,Atlanta Hawks,82,25,57,0.305,48.1,35.1,81.3,0.431,4.1,11.4,0.357,16.8,22.1,0.759,12.5,30.4,42.9,19,16.7,7.7,4.7,6.3,22.7,91,-5.2
42000,1610612738,Boston Celtics,82,36,46,0.439,48.4,33.8,79.1,0.428,7.2,19.9,0.363,19.8,26.7,0.74,10.9,28.9,39.8,20.8,15.7,9.4,4.1,5.4,23.8,94.6,-2.1
42000,1610612766,Charlotte Hornets,82,46,36,0.561,48.5,34.1,79.3,0.431,4.1,12,0.346,19.5,26.2,0.745,12.6,31.8,44.4,23.2,14.4,8.1,5.5,4.6,21.4,91.9,2.1
42000,1610612741,Chicago Bulls,82,15,67,0.183,48.4,33.2,78.2,0.424,4,11.6,0.346,17.2,23.3,0.739,11.3,27.6,38.9,22.1,15.8,8.2,4.6,5.2,23.2,87.6,-9.1
42000,1610612739,Cleveland Cavaliers,82,30,52,0.366,48.4,35.2,79.7,0.442,2.7,8,0.334,19,24.9,0.765,12.4,29.8,42.1,20.8,16.5,7.8,5.3,6.6,23.2,92.2,-4.2
42000,1610612742,Dallas Mavericks,82,53,29,0.646,48.3,37.6,81.9,0.459,6.3,16.5,0.381,18.9,23.8,0.794,10.1,31.4,41.5,21.2,13.9,7.5,6,4.6,23.3,100.5,4.3
42000,1610612743,Denver Nuggets,82,40,42,0.488,48.2,36.3,83.9,0.433,6.2,17.6,0.355,17.6,23.9,0.737,12.7,31.5,44.2,24,13.9,6.7,6.6,6.1,22.2,96.5,-2.5
42000,1610612765,Detroit Pistons,82,32,50,0.39,48.4,35.6,83.9,0.424,4.7,13.6,0.35,19.6,27.2,0.721,13.5,32,45.5,19.9,15.9,7.5,5.5,4.8,23.8,95.6,-1.7
42000,1610612744,Golden State Warriors,82,17,65,0.207,48.2,35.8,87.5,0.409,3.4,11.8,0.293,17.4,24.7,0.706,16.4,29.1,45.5,21.8,15.9,9,5,6,21.1,92.5,-9
