ATL,2005
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ATL,2005
2,Bismack Biyombo,20,80,65,2186,156,346,.451,0,0,,156,346,.451,.451,74,142,.521,194,388,582,35,28,143,82,195,386,CHA,2013
3,Gerald Henderson,25,68,58,2133,382,855,.447,33,100,.330,349,755,.462,.466,258,313,.824,55,195,250,177,68,34,108,149,1055,CHA,2013
4,Michael Kidd-Gilchrist,19,78,77,2025,281,613,.458,2,9,.222,279,604,.462,.460,140,187,.749,131,324,455,117,54,70,101,164,704,CHA,2013
5,Ramon Sessions,26,61,0,1652,276,676,.408,33,107,.308,243,569,.427,.433,291,347,.839,27,142,169,230,48,7,104,91,876,CHA,2013
6,Ben Gordon,29,75,0,1560,310,760,.408,113,292,.387,197,468,.421,.482,107,127,.843,18,112,130,141,35,16,136,134,840,CHA,2013
7,Jeffery Taylor,23,77,29,1507,172,399,.431,53,154,.344,119,245,.486,.497,75,103,.728,51,99,150,63,47,15,48,136,472,CHA,2013
8,Byron Mullens,23,53,41,1428,217,563,.385,66,208,.317,151,355,.425,.444,64,99,.646,71,266,337,81,34,32,74,110,564,CHA,2013
9,Brendan Haywood,33,61,17,1162,93,216,.431,0,1,.000,93,215,.433,.431,30,66,.455,125,165,290,29,16,49,50,125,216,CHA,2013
10,Josh McRoberts,25,26,19,802,96,190,.505,7,29,.241,89,161,.553,.524,43,55,.782,52,136,188,71,22,15,38,66,242,CHA,2013
11,Jeff Adrien,26,52,5,713,72,168,.429,0,2,.000,72,166,.434,.429,65,100,.650,68,128,196,36,18,27,32,80,209,CHA,2013
12,Hakim Warrick,30,27,14,482,66,163,.405,0,3,.000,66,160,.413,.405,58,86,.674,21,68,89,25,12,6,29,37,190,CHA,2013
13,Reggie Williams,26,40,0,380,57,132,.432,22,72,.306,35,60,.583,.515,10,21,.476,8,43,51,39,12,1,19,19,146,CHA,2013
14,Tyrus Thomas,26,26,2,360,48,136,.353,3,8,.375,45,128,.352,.364,26,31,.839,16,44,60,19,14,15,17,51,125,CHA,2013
15,Jannero Pargo,33,18,0,292,57,142,.401,29,76,.382,28,66,.424,.504,8,9,.889,9,13,22,34,15,2,28,26,151,CHA,2013
16,DeSagana Diop,31,22,1,226,8,27,.296,0,1,.000,8,26,.308,.296,0,1,.000,10,41,51,13,5,16,8,19,16,CHA,2013
17,Cory Higgins,23,6,0,32,6,19,.316,1,5,.200,5,14,.357,.342,1,2,.500,1,2,3,5,3,0,0,5,14,CHA,2013
18,Matt Carroll,32,1,0,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,1,0,CHA,2013
,Team Totals,,82,,19805,2823,6649,.425,469,1399,.335,2354,5250,.448,.460,1546,2060,.750,917,2389,3306,1587,591,479,1153,1561,7661,CHA,2013
CHA,2014
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,CHA,2014
1,Kemba Walker,23,73,73,2614,449,1143,.393,109,327,.333,340,816,.417,.441,282,337,.837,39,267,306,447,86,32,169,128,1289,CHA,2014
2,Al Jefferson,29,73,73,2553,700,1376,.509,3,15,.200,697,1361,.512,.510,191,277,.690,156,636,792,155,67,79,124,176,1594,CHA,2014
3,Gerald Henderson,26,77,77,2461,403,930,.433,40,115,.348,363,815,.445,.455,235,309,.761,31,279,310,199,51,32,113,159,1081,CHA,2014
4,Josh McRoberts,26,78,78,2360,247,566,.436,105,291,.361,142,275,.516,.529,62,85,.729,85,288,373,333,58,46,83,189,661,CHA,2014
5,Michael Kidd-Gilchrist,20,62,62,1502,167,353,.473,1,9,.111,166,344,.483,.475,113,184,.614,109,215,324,52,43,39,60,145,448,CHA,2014
6,Cody Zeller,21,82,3,1416,172,404,.426,0,1,.000,172,403,.427,.426,146,200,.730,118,235,353,92,40,41,87,170,490,CHA,2014
7,Ramon Sessions,27,55,7,1305,190,465,.409,15,68,.221,175,397,.441,.425,183,234,.782,22,95,117,206,33,6,93,50,578,CHA,2014
8,Anthony Tolliver,28,64,9,1298,129,307,.420,102,247,.413,27,60,.450,.586,33,41,.805,33,135,168,42,19,15,23,82,393,CHA,2014
9,Bismack Biyombo,21,77,9,1072,88,144,.611,0,0,,88,144,.611,.611,46,89,.517,105,261,366,8,7,86,40,124,222,CHA,2014
10,Chris Douglas-Roberts,27,49,8,1016,111,252,.440,51,132,.386,60,120,.500,.542,66,82,.805,16,103,119,51,29,16,36,61,339,CHA,2014
11,Jeffery Taylor,24,26,8,629,82,218,.376,18,67,.269,64,151,.424,.417,26,47,.553,15,45,60,22,13,5,25,62,208,CHA,2014
12,Gary Neal,29,22,1,507,85,194,.438,28,69,.406,57,125,.456,.510,49,51,.961,2,38,40,37,11,0,25,39,247,CHA,2014
13,Luke Ridnour,32,25,2,378,42,108,.389,12,40,.300,30,68,.441,.444,4,7,.571,8,27,35,54,9,6,20,37,100,CHA,2014
14,Ben Gordon,30,19,0,279,37,108,.343,8,29,.276,29,79,.367,.380,17,21,.810,3,24,27,21,10,2,21,18,99,CHA,2014
15,Jeff Adrien,27,25,0,256,22,40,.550,0,0,,22,40,.550,.550,13,25,.520,33,55,88,7,7,15,8,35,57,CHA,2014
16,Jannero Pargo,34,29,0,242,52,118,.441,24,60,.400,28,58,.483,.542,8,11,.727,1,19,20,52,14,1,26,17,136,CHA,2014
17,D.J. White,27,2,0,10,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,2,2,0,1,0,0,1,0,CHA,2014
18,Justin Hamilton,23,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,1,0,0,CHA,2014
19,James Southerland,23,1,0,3,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,CHA,2014
,Team Totals,,82,,19905,2976,6730,.442,516,1471,.351,2460,5259,.468,.481,1474,2000,.737,776,2724,3500,1778,499,421,1010,1493,7942,CHA,2014
CHI,2005
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,CHI,2005
1,Kirk Hinrich,24,77,77,2800,445,1122,.397,145,408,.355,300,714,.420,.461,171,216,.792,32,272,304,494,122,21,176,244,1206,CHI,2005
2,Tyson Chandler,22,80,10,2189,207,419,.494,0,2,.000,207,417,.496,.494,226,336,.673,261,514,775,65,69,141,118,268,640,CHI,2005
3,Chris Duhon,22,82,73,2177,172,488,.352,94,265,.355,78,223,.350,.449,49,67,.731,23,190,213,398,82,3,119,205,487,CHI,2005
4,Ben Gordon,21,82,3,2002,434,1056,.411,134,331,.405,300,725,.414,.474,233,270,.863,55,160,215,164,53,10,186,224,1235,CHI,2005
5,Andres Nocioni,25,81,38,1892,241,601,.401,25,97,.258,216,504,.429,.422,170,222,.766,69,317,386,122,37,34,135,208,677,CHI,2005
6,Antonio Davis,36,72,62,1843,193,419,.461,0,0,,193,419,.461,.461,115,152,.757,152,276,428,80,27,41,96,147,501,CHI,2005
7,Eddy Curry,22,63,60,1808,393,730,.538,0,0,,393,730,.538,.538,226,314,.720,116,222,338,37,21,58,163,202,1012,CHI,2005
8,Luol Deng,19,61,45,1663,280,645,.434,31,117,.265,249,528,.472,.458,120,162,.741,92,230,322,135,48,27,118,98,711,CHI,2005
9,Othella Harrington,31,70,28,1271,217,424,.512,0,0,,217,424,.512,.512,127,177,.718,106,186,292,56,24,18,84,188,561,CHI,2005
10,Eric Piatkowski,34,68,11,841,111,258,.430,57,134,.425,54,124,.435,.541,45,56,.804,15,64,79,51,29,1,37,67,324,CHI,2005
11,Adrian Griffin,30,69,1,667,58,161,.360,2,9,.222,56,152,.368,.366,33,44,.750,52,94,146,53,43,4,30,78,151,CHI,2005
12,Jannero Pargo,25,32,0,453,82,213,.385,23,66,.348,59,147,.401,.439,17,23,.739,12,35,47,76,16,1,45,53,204,CHI,2005
13,Jared Reiner,22,19,2,132,10,30,.333,0,0,,10,30,.333,.333,1,4,.250,13,25,38,1,3,7,9,35,21,CHI,2005
14,Frank Williams,24,9,0,71,3,20,.150,0,4,.000,3,16,.188,.150,0,0,,2,4,6,11,2,3,3,9,6,CHI,2005
15,Lawrence Funderburke,34,2,0,21,3,6,.500,0,0,,3,6,.500,.500,3,5,.600,1,2,3,0,0,0,0,2,9,CHI,2005
,Team Totals,,82,,19830,2849,6592,.432,511,1433,.357,2338,5159,.453,.471,1536,2048,.750,1001,2591,3592,1743,576,369,1371,2028,7745,CHI,2005
CHI,2006
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,CHI,2006
1,Kirk Hinrich,25,81,81,2955,451,1078,.418,126,341,.370,325,737,.441,.477,256,314,.815,29,259,288,514,94,21,188,251,1284,CHI,2006
2,Luol Deng,20,78,56,2604,442,954,.463,21,78,.269,421,876,.481,.474,207,276,.750,127,389,516,147,72,50,105,128,1112,CHI,2006
3,Ben Gordon,22,80,47,2482,486,1152,.422,166,382,.435,320,770,.416,.494,211,268,.787,43,176,219,240,75,5,180,238,1349,CHI,2006
4,Andres Nocioni,26,82,43,2239,383,831,.461,93,238,.391,290,593,.489,.517,204,242,.843,89,411,500,117,40,52,120,252,1063,CHI,2006
5,Chris Duhon,23,74,38,2155,215,538,.400,100,278,.360,115,260,.442,.493,117,143,.818,28,192,220,373,70,3,117,152,647,CHI,2006
6,Tyson Chandler,23,79,50,2121,160,283,.565,0,1,.000,160,282,.567,.565,97,193,.503,265,449,714,81,41,104,123,298,417,CHI,2006
7,Darius Songaila,27,62,7,1329,236,491,.481,2,5,.400,234,486,.481,.483,94,115,.817,76,170,246,88,35,16,85,157,568,CHI,2006
8,Mike Sweetney,23,66,44,1222,200,444,.450,0,0,,200,444,.450,.450,133,204,.652,118,232,350,59,19,56,95,209,533,CHI,2006
9,Othella Harrington,32,72,23,824,135,273,.495,0,0,,135,273,.495,.495,77,123,.626,54,100,154,39,7,13,61,131,347,CHI,2006
10,Malik Allen,27,54,20,701,121,247,.490,1,1,1.000,120,246,.488,.492,23,38,.605,44,96,140,20,14,16,34,92,266,CHI,2006
11,Jannero Pargo,26,57,0,646,109,292,.373,39,103,.379,70,189,.370,.440,17,21,.810,8,53,61,94,24,2,61,57,274,CHI,2006
12,Eric Piatkowski,35,29,1,228,24,61,.393,9,33,.273,15,28,.536,.467,2,5,.400,4,19,23,13,6,1,11,20,59,CHI,2006
13,Luke Schenscher,23,20,0,149,16,26,.615,0,0,,16,26,.615,.615,4,13,.308,8,21,29,7,1,3,5,21,36,CHI,2006
14,Eddie Basden,22,19,0,141,15,37,.405,1,7,.143,14,30,.467,.419,8,10,.800,7,21,28,8,9,2,9,17,39,CHI,2006
15,Tim Thomas,28,3,0,32,6,16,.375,1,6,.167,5,10,.500,.406,0,0,,0,4,4,2,0,1,1,1,13,CHI,2006
16,James Thomas,25,7,0,26,3,6,.500,0,0,,3,6,.500,.500,0,0,,4,4,8,0,0,0,0,3,6,CHI,2006
17,Randy Livingston,30,5,0,22,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,3,4,1,1,0,1,6,0,CHI,2006
18,Stephen Graham,23,3,0,20,1,5,.200,1,4,.250,0,1,.000,.300,2,2,1.000,0,3,3,1,0,0,1,3,5,CHI,2006
19,Randy Holcomb,26,4,0,11,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,0,1,0,0,0,0,2,2,CHI,2006
,Team Totals,,82,,19905,3004,6737,.446,560,1477,.379,2444,5260,.465,.487,1452,1967,.738,906,2602,3508,1804,508,345,1224,2038,8020,CHI,2006
CHI,2007
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,CHI,2007
1,Luol Deng,21,82,82,3071,630,1218,.517,1,7,.143,629,1211,.519,.518,279,359,.777,148,431,579,204,97,48,153,167,1540,CHI,2007
2,Kirk Hinrich,26,80,80,2839,475,1061,.448,140,337,.415,335,724,.463,.514,237,284,.835,32,242,274,500,100,23,191,274,1327,CHI,2007
3,Ben Gordon,23,82,51,2704,609,1338,.455,155,375,.413,454,963,.471,.513,380,440,.864,35,223,258,296,64,17,249,252,1753,CHI,2007
4,Ben Wallace,32,77,77,2697,192,424,.453,1,5,.200,191,419,.456,.454,109,267,.408,303,518,821,186,111,156,101,153,494,CHI,2007
5,Chris Duhon,24,78,30,1906,197,483,.408,88,245,.359,109,238,.458,.499,76,101,.752,23,146,169,310,69,6,105,150,558,CHI,2007
6,P.J. Brown,37,72,49,1456,170,418,.407,0,2,.000,170,416,.409,.407,96,122,.787,129,218,347,48,24,52,85,187,436,CHI,2007
7,Andres Nocioni,27,53,31,1406,273,584,.467,80,209,.383,193,375,.515,.536,123,145,.848,42,259,301,57,27,24,104,164,749,CHI,2007
8,Tyrus Thomas,20,72,4,966,134,282,.475,0,2,.000,134,280,.479,.475,106,175,.606,89,180,269,40,46,76,94,162,374,CHI,2007
9,Thabo Sefolosha,22,71,4,868,109,256,.426,15,42,.357,94,214,.439,.455,23,45,.511,35,118,153,60,33,11,60,100,256,CHI,2007
10,Malik Allen,28,60,1,638,107,258,.415,0,1,.000,107,257,.416,.415,28,34,.824,42,77,119,16,17,16,21,85,242,CHI,2007
11,Adrian Griffin,32,54,1,585,61,129,.473,0,6,.000,61,123,.496,.473,15,19,.789,40,69,109,59,32,4,38,78,137,CHI,2007
12,Mike Sweetney,24,48,0,385,58,134,.433,0,0,,58,134,.433,.433,37,66,.561,45,75,120,28,9,11,42,79,153,CHI,2007
13,Viktor Khryapa,24,33,0,231,27,70,.386,0,6,.000,27,64,.422,.386,19,26,.731,20,37,57,21,10,1,16,53,73,CHI,2007
14,Andre Barrett,24,6,0,29,4,8,.500,0,0,,4,8,.500,.500,0,0,,1,4,5,7,0,0,4,4,8,CHI,2007
,Team Totals,,82,,19780,3046,6663,.457,480,1237,.388,2566,5426,.473,.493,1528,2083,.734,984,2597,3581,1832,639,445,1310,1908,8100,CHI,2007
CHI,2008
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,CHI,2008
1,Kirk Hinrich,27,75,72,2380,330,797,.414,84,240,.350,246,557,.442,.467,118,142,.831,28,216,244,452,87,19,157,224,862,CHI,2008
2,Ben Gordon,24,72,27,2291,464,1069,.434,142,346,.410,322,723,.445,.500,266,293,.908,40,181,221,213,55,8,150,171,1336,CHI,2008
3,Luol Deng,22,63,59,2128,429,896,.479,8,22,.364,421,874,.482,.483,204,265,.770,136,258,394,155,57,29,120,117,1070,CHI,2008
4,Andres Nocioni,28,82,27,2021,379,877,.432,126,346,.364,253,531,.476,.504,196,243,.807,48,294,342,95,25,43,133,245,1080,CHI,2008
5,Ben Wallace,33,50,50,1627,101,271,.373,0,4,.000,101,267,.378,.373,53,125,.424,175,266,441,92,69,80,49,86,255,CHI,2008
6,Joakim Noah,22,74,31,1534,177,367,.482,0,1,.000,177,366,.484,.482,134,194,.691,174,242,416,84,68,64,89,173,488,CHI,2008
7,Chris Duhon,25,66,18,1490,133,344,.387,54,155,.348,79,189,.418,.465,65,80,.813,19,97,116,263,48,2,71,92,385,CHI,2008
8,Thabo Sefolosha,23,69,22,1436,180,421,.428,29,88,.330,151,333,.453,.462,75,104,.721,50,205,255,129,61,30,93,128,464,CHI,2008
9,Tyrus Thomas,21,74,27,1330,186,440,.423,1,6,.167,185,434,.426,.424,129,174,.741,102,240,342,90,48,72,77,170,502,CHI,2008
10,Joe Smith,32,50,35,1146,225,483,.466,0,1,.000,225,482,.467,.466,109,135,.807,108,157,265,47,25,31,49,113,559,CHI,2008
11,Larry Hughes,29,28,25,810,125,323,.387,24,68,.353,101,255,.396,.424,62,80,.775,12,75,87,87,39,6,44,48,336,CHI,2008
12,Aaron Gray,23,61,1,613,103,204,.505,0,1,.000,103,203,.507,.505,56,99,.566,70,98,168,41,21,16,57,117,262,CHI,2008
13,Drew Gooden,26,18,14,558,100,217,.461,0,3,.000,100,214,.467,.461,52,64,.813,58,109,167,31,13,23,31,59,252,CHI,2008
14,Adrian Griffin,33,22,2,222,24,60,.400,0,0,,24,60,.400,.400,3,7,.429,19,18,37,22,12,1,16,19,51,CHI,2008
15,Viktor Khryapa,25,9,0,105,12,31,.387,0,1,.000,12,30,.400,.387,8,14,.571,6,14,20,8,6,0,6,11,32,CHI,2008
16,Thomas Gardner,22,4,0,45,9,23,.391,3,12,.250,6,11,.545,.457,0,2,.000,3,1,4,1,0,0,4,4,21,CHI,2008
17,Demetris Nichols,23,11,0,30,5,15,.333,3,10,.300,2,5,.400,.433,0,0,,0,4,4,1,0,3,2,4,13,CHI,2008
18,Shannon Brown,22,6,0,22,3,15,.200,0,1,.000,3,14,.214,.200,3,6,.500,1,1,2,0,1,2,5,2,9,CHI,2008
19,Cedric Simmons,22,7,0,19,2,8,.250,0,0,,2,8,.250,.250,0,2,.000,1,2,3,0,0,0,2,1,4,CHI,2008
,Team Totals,,82,,19805,2987,6861,.435,474,1305,.363,2513,5556,.452,.470,1533,2029,.756,1050,2478,3528,1811,635,429,1197,1784,7981,CHI,2008
CHI,2009
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,CHI,2009
1,Derrick Rose,20,81,80,3000,574,1208,.475,16,72,.222,558,1136,.491,.482,197,250,.788,96,221,317,512,66,18,202,125,1361,CHI,2009
2,Ben Gordon,25,82,76,2999,598,1315,.455,173,422,.410,425,893,.476,.521,330,382,.864,52,231,283,279,71,22,200,184,1699,CHI,2009
3,Tyrus Thomas,22,79,61,2175,308,683,.451,3,9,.333,305,674,.453,.453,238,304,.783,148,360,508,77,91,151,129,220,857,CHI,2009
4,Joakim Noah,23,80,55,1938,207,372,.556,0,1,.000,207,371,.558,.556,123,182,.676,244,362,606,106,49,110,82,238,537,CHI,2009
5,Luol Deng,23,49,46,1665,265,591,.448,8,20,.400,257,571,.450,.455,152,191,.796,80,215,295,94,60,25,72,85,690,CHI,2009
6,Kirk Hinrich,28,51,4,1339,183,419,.437,69,169,.408,114,250,.456,.519,68,86,.791,16,107,123,197,66,19,87,126,503,CHI,2009
7,Andres Nocioni,29,53,2,1278,186,449,.414,79,209,.378,107,240,.446,.502,100,124,.806,34,188,222,60,26,16,73,176,551,CHI,2009
8,John Salmons,29,26,21,979,165,349,.473,49,118,.415,116,231,.502,.543,97,115,.843,16,96,112,53,25,15,43,60,476,CHI,2009
9,Drew Gooden,27,31,27,918,161,352,.457,0,3,.000,161,349,.461,.457,84,97,.866,82,184,266,43,26,14,57,103,406,CHI,2009
10,Larry Hughes,30,30,6,792,127,308,.412,40,102,.392,87,206,.422,.477,67,82,.817,6,88,94,59,36,9,36,51,361,CHI,2009
11,Brad Miller,32,27,0,746,108,226,.478,3,13,.231,105,213,.493,.485,99,116,.853,67,134,201,86,22,12,47,88,318,CHI,2009
12,Thabo Sefolosha,24,43,14,735,79,182,.434,15,50,.300,64,132,.485,.475,21,25,.840,26,97,123,65,35,19,37,50,194,CHI,2009
13,Aaron Gray,24,56,18,715,81,167,.485,0,1,.000,81,166,.488,.485,34,59,.576,84,136,220,46,14,18,40,135,196,CHI,2009
14,Lindsey Hunter,38,28,0,266,27,82,.329,16,48,.333,11,34,.324,.427,3,5,.600,2,10,12,37,20,1,19,28,73,CHI,2009
15,Tim Thomas,31,18,0,254,36,90,.400,19,43,.442,17,47,.362,.506,14,20,.700,8,34,42,12,6,0,10,27,105,CHI,2009
16,Cedric Simmons,23,11,0,61,11,21,.524,0,0,,11,21,.524,.524,6,14,.429,4,8,12,2,1,4,0,6,28,CHI,2009
17,Linton Johnson,28,8,0,42,4,11,.364,1,2,.500,3,9,.333,.409,0,0,,3,5,8,2,1,0,2,6,9,CHI,2009
18,Anthony Roberson,25,6,0,23,5,17,.294,2,10,.200,3,7,.429,.353,0,0,,2,5,7,1,0,0,1,0,12,CHI,2009
19,Demetris Nichols,24,2,0,5,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,0,0,0,1,0,0,0,1,2,CHI,2009
,Team Totals,,82,,19930,3126,6846,.457,493,1293,.381,2633,5553,.474,.493,1633,2052,.796,970,2481,3451,1732,615,453,1192,1709,8378,CHI,2009
CHI,2010
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,CHI,2010
1,Derrick Rose,21,78,78,2871,672,1373,.489,16,60,.267,656,1313,.500,.495,259,338,.766,65,228,293,469,57,27,217,96,1619,CHI,2010
2,Luol Deng,24,70,69,2651,473,1014,.466,32,83,.386,441,931,.474,.482,252,330,.764,131,381,512,143,66,61,134,129,1230,CHI,2010
3,Kirk Hinrich,29,74,53,2481,308,753,.409,104,280,.371,204,473,.431,.478,85,113,.752,24,236,260,330,85,24,113,204,805,CHI,2010
4,Taj Gibson,24,82,70,2204,311,629,.494,0,0,,311,629,.494,.494,113,175,.646,226,385,611,70,50,104,114,282,735,CHI,2010
5,Brad Miller,33,82,37,1950,250,581,.430,37,132,.280,213,449,.474,.462,182,220,.827,83,316,399,154,44,29,107,189,719,CHI,2010
6,Joakim Noah,24,64,54,1925,262,520,.504,0,0,,262,520,.504,.504,163,219,.744,220,484,704,132,32,100,117,198,687,CHI,2010
7,John Salmons,30,51,28,1695,230,548,.420,73,192,.380,157,356,.441,.486,116,147,.789,18,156,174,125,65,22,70,101,649,CHI,2010
8,Jannero Pargo,30,63,5,829,132,381,.346,38,138,.275,94,243,.387,.396,42,45,.933,9,69,78,89,29,2,50,68,344,CHI,2010
9,James Johnson,22,65,11,757,95,210,.452,15,46,.326,80,164,.488,.488,51,70,.729,34,94,128,48,21,43,62,126,256,CHI,2010
10,Ronald Murray,30,29,1,680,108,272,.397,28,90,.311,80,182,.440,.449,48,63,.762,13,72,85,51,18,4,26,49,292,CHI,2010
11,Tyrus Thomas,23,29,3,678,99,205,.483,0,1,.000,99,204,.485,.483,58,90,.644,42,141,183,33,40,48,52,64,256,CHI,2010
12,Hakim Warrick,27,28,0,533,83,172,.483,0,1,.000,83,171,.485,.483,77,102,.755,40,62,102,17,7,8,23,43,243,CHI,2010
13,Chris Richard,25,18,0,224,15,29,.517,0,0,,15,29,.517,.517,7,11,.636,19,40,59,7,8,4,14,50,37,CHI,2010
14,Acie Law,25,12,1,135,21,45,.467,4,12,.333,17,33,.515,.511,20,27,.741,3,11,14,16,4,0,12,8,66,CHI,2010
15,Lindsey Hunter,39,13,0,122,5,30,.167,1,13,.077,4,17,.235,.183,2,2,1.000,1,13,14,9,1,0,4,12,13,CHI,2010
16,Devin Brown,31,11,0,93,8,36,.222,4,17,.235,4,19,.211,.278,0,0,,2,13,15,7,3,1,5,10,20,CHI,2010
17,Aaron Gray,25,8,0,50,8,21,.381,0,0,,8,21,.381,.381,2,7,.286,5,11,16,2,0,0,1,10,18,CHI,2010
18,Joe Alexander,23,8,0,29,1,6,.167,0,1,.000,1,5,.200,.167,2,3,.667,2,3,5,2,1,1,0,9,4,CHI,2010
,Team Totals,,82,,19905,3081,6825,.451,352,1066,.330,2729,5759,.474,.477,1479,1962,.754,937,2715,3652,1704,531,478,1175,1648,7993,CHI,2010
CHI,2011
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,CHI,2011
1,Luol Deng,25,82,82,3208,531,1155,.460,115,333,.345,416,822,.506,.510,253,336,.753,116,360,476,230,78,48,156,162,1430,CHI,2011
2,Derrick Rose,22,81,81,3026,711,1597,.445,128,385,.332,583,1212,.481,.485,476,555,.858,81,249,330,623,85,51,278,136,2026,CHI,2011
3,Carlos Boozer,29,59,59,1882,431,845,.510,0,0,,431,845,.510,.510,171,244,.701,130,435,565,145,45,18,149,186,1033,CHI,2011
4,Ronnie Brewer,25,81,1,1781,205,427,.480,6,27,.222,199,400,.498,.487,87,133,.654,55,207,262,140,106,22,55,82,503,CHI,2011
5,Taj Gibson,25,80,19,1742,234,502,.466,1,8,.125,233,494,.472,.467,100,148,.676,162,296,458,58,39,106,71,203,569,CHI,2011
6,Kyle Korver,29,82,0,1649,242,557,.434,120,289,.415,122,268,.455,.542,77,87,.885,12,138,150,124,35,20,60,156,681,CHI,2011
7,Joakim Noah,25,48,48,1576,211,402,.525,0,1,.000,211,401,.526,.525,139,188,.739,182,316,498,107,48,72,90,156,561,CHI,2011
8,Keith Bogans,30,82,82,1461,124,307,.404,90,237,.380,34,70,.486,.550,21,32,.656,19,129,148,101,38,9,41,113,359,CHI,2011
9,Kurt Thomas,38,52,37,1178,95,186,.511,1,1,1.000,94,185,.508,.513,20,32,.625,75,226,301,60,32,42,42,164,211,CHI,2011
10,C.J. Watson,26,82,1,1091,146,394,.371,44,112,.393,102,282,.362,.426,69,93,.742,16,78,94,186,55,11,73,82,405,CHI,2011
11,Omer Asik,24,82,0,989,78,141,.553,0,0,,78,141,.553,.553,73,145,.503,112,194,306,32,20,56,64,153,229,CHI,2011
12,James Johnson,23,13,0,123,17,41,.415,2,9,.222,15,32,.469,.439,6,13,.462,6,18,24,14,8,9,18,25,42,CHI,2011
13,Brian Scalabrine,32,18,0,88,10,19,.526,0,5,.000,10,14,.714,.526,0,0,,1,7,8,6,3,4,5,18,20,CHI,2011
14,Rasual Butler,31,6,0,26,6,11,.545,4,7,.571,2,4,.500,.727,0,0,,0,1,1,0,0,0,2,3,16,CHI,2011
15,John Lucas III,28,2,0,10,1,3,.333,0,1,.000,1,2,.500,.333,0,2,.000,0,0,0,1,0,0,0,0,2,CHI,2011
,Team Totals,,82,,19830,3042,6587,.462,511,1415,.361,2531,5172,.489,.501,1492,2008,.743,967,2654,3621,1827,592,468,1161,1639,8087,CHI,2011
CHI,2012
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,CHI,2012
1,Luol Deng,26,54,54,2129,311,755,.412,79,215,.367,232,540,.430,.464,127,165,.770,77,273,350,157,56,36,96,81,828,CHI,2012
2,Carlos Boozer,30,66,66,1948,448,842,.532,0,1,.000,448,841,.533,.532,95,137,.693,114,450,564,125,63,24,115,168,991,CHI,2012
3,Joakim Noah,26,64,64,1945,249,490,.508,0,1,.000,249,489,.509,.508,154,206,.748,242,387,629,160,41,92,92,162,652,CHI,2012
4,Ronnie Brewer,26,66,43,1635,190,445,.427,19,69,.275,171,376,.455,.448,56,100,.560,72,159,231,137,72,21,59,64,455,CHI,2012
5,Kyle Korver,30,65,7,1469,178,412,.432,118,271,.435,60,141,.426,.575,55,66,.833,26,133,159,112,36,15,53,110,529,CHI,2012
6,Derrick Rose,23,39,39,1375,302,695,.435,54,173,.312,248,522,.475,.473,194,239,.812,26,105,131,307,35,28,119,52,852,CHI,2012
7,Taj Gibson,26,63,0,1284,200,404,.495,0,0,,200,404,.495,.495,84,135,.622,135,197,332,47,27,81,60,131,484,CHI,2012
