ATL,2005
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ATL,2005
,Team Totals,,82,,19955,2992,6718,.445,713,1917,.372,2279,4801,.475,.498,1608,2055,.782,935,2552,3487,1737,577,343,1159,1882,8305,TOR,2014
TOR,2015
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TOR,2015
1,Kyle Lowry,28,70,70,2414,430,1043,.412,132,391,.338,298,652,.457,.476,252,312,.808,54,274,328,473,109,13,173,212,1244,TOR,2015
2,Patrick Patterson,25,81,4,2156,240,535,.449,105,283,.371,135,252,.536,.547,63,80,.788,127,306,433,155,60,44,54,149,648,TOR,2015
3,DeMar DeRozan,25,60,60,2100,409,990,.413,25,88,.284,384,902,.426,.426,361,434,.832,41,236,277,210,73,11,137,122,1204,TOR,2015
4,Jonas Valanciunas,22,80,80,2096,373,652,.572,0,1,.000,373,651,.573,.572,217,276,.786,215,478,693,39,33,95,109,222,963,TOR,2015
5,Terrence Ross,23,82,61,2092,309,753,.410,145,390,.372,164,363,.452,.507,44,56,.786,32,194,226,86,53,25,69,136,807,TOR,2015
6,Lou Williams,28,80,0,2016,375,928,.404,152,447,.340,223,481,.464,.486,340,395,.861,24,127,151,164,88,10,101,103,1242,TOR,2015
7,Greivis Vasquez,28,82,29,1991,296,725,.408,133,351,.379,163,374,.436,.500,50,66,.758,22,194,216,302,46,10,119,177,775,TOR,2015
