NYK
34,Josh Huestis,SF,6-7,230,December 19 1991,,R,Stanford University,OKC
13,Nazr Mohammed,C,6-10,221,September 5 1977,,17,University of Kentucky,OKC
POR
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,POR
24,Mason Plumlee,C,6-11,245,March 5 1990,,2,Duke University,POR
2,Brian Roberts,PG,6-1,173,December 3 1985,,3,University of Dayton,POR
4,Maurice Harkless,SF,6-9,215,May 11 1993,,3,St. John's University,POR
0,Damian Lillard,PG,6-3,195,July 15 1990,,3,Weber State University,POR
11,Meyers Leonard,PF,7-1,245,February 27 1992,,3,University of Illinois at Urbana-Champaign,POR
3,C.J. McCollum,SG,6-4,200,September 19 1991,,2,Lehigh University,POR
23,Allen Crabbe,SG,6-6,210,April 9 1992,,2,University of California,POR
35,Chris Kaman,C,7-0,265,April 28 1982,,12,Central Michigan University,POR
9,Gerald Henderson,SG,6-5,215,December 9 1987,,6,Duke University,POR
21,Noah Vonleh,PF,6-10,240,August 24 1995,,1,Indiana University,POR
8,Al-Farouq Aminu,SF,6-9,215,September 21 1990,,5,Wake Forest University,POR
17,Ed Davis,PF,6-10,240,June 5 1989,,5,University of North Carolina,POR
34,Cliff Alexander,PF,6-8,240,November 16 1995,,R,University of Kansas,POR
44,Luis Montero,SG,6-7,185,April 6 1993,,R,Westchester CC,POR
5,Pat Connaughton,SG,6-5,206,January 6 1993,,R,University of Notre Dame,POR
NOP
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,NOP
,Quincy Pondexter,G-F,6-7,220,March 10 1988,,5,University of Washington,NOP
10,Eric Gordon,SG,6-4,215,December 25 1988,,7,Indiana University,NOP
33,Ryan Anderson,PF,6-10,240,May 6 1988,,7,University of California,NOP
23,Anthony Davis,PF,6-10,253,March 11 1993,,3,University of Kentucky,NOP
11,Jrue Holiday,PG,6-4,205,June 12 1990,,6,University of California Los Angeles,NOP
1,Tyreke Evans,PG,6-6,220,September 19 1989,,6,University of Memphis,NOP
42,Alexis Ajinca,C,7-2,248,May 6 1988,,5,,NOP
3,Omer Asik,C,7-0,255,July 4 1986,,5,,NOP
44,Dante Cunningham,SF,6-8,230,April 22 1987,,6,Villanova University,NOP
8,Luke Babbitt,SF,6-9,225,June 20 1989,,5,University of Nevada Reno,NOP
15,Alonzo Gee,SF,6-6,225,May 29 1987,,6,University of Alabama,NOP
5,Kendrick Perkins,C,6-10,270,November 10 1984,,12,,NOP
30,Norris Cole,PG,6-2,175,October 13 1988,,4,Cleveland State University,NOP
16,Toney Douglas,PG,6-2,195,March 16 1986,,6,Florida State University,NOP
31,Bryce Dejean-Jones,SG,6-6,209,August 21 1992,,R,Iowa State University,NOP
2,Tim Frazier,PG,6-1,170,November 1 1990,,1,Pennsylvania State University,NOP
4,James Ennis,SF,6-7,210,July 1 1990,,1,California State University Long Beach,NOP
25,Jordan Hamilton,SF,6-7,220,October 6 1990,,4,University of Texas at Austin,NOP
PHI
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,PHI
4,Nerlens Noel,PF,6-11,228,April 10 1994,,1,University of Kentucky,PHI
0,Isaiah Canaan,PG,6-0,201,May 21 1991,,2,Murray State University,PHI
7,Carl Landry,PF,6-9,248,September 19 1983,,8,Purdue University,PHI
31,Hollis Thompson,SG,6-8,206,April 3 1991,,2,Georgetown University,PHI
11,Nik Stauskas,SG,6-6,205,October 7 1993,,1,University of Michigan,PHI
,Joel Embiid,C,7-0,250,March 16 1994,,R,University of Kansas,PHI
39,Jerami Grant,SF,6-8,210,March 12 1994,,1,Syracuse University,PHI
33,Robert Covington,SF,6-9,215,December 14 1990,,2,Tennessee State University,PHI
8,Jahlil Okafor,C,6-11,275,December 15 1995,,R,Duke University,PHI
22,Richaun Holmes,PF,6-10,245,October 15 1993,,R,Bowling Green State University,PHI
12,T.J. McConnell,PG,6-2,200,March 25 1992,,R,University of Arizona,PHI
5,Kendall Marshall,PG,6-4,200,August 19 1991,,3,University of North Carolina,PHI
1,Ish Smith,PG,6-0,175,July 5 1988,,5,Wake Forest University,PHI
42,Elton Brand,PF,6-8,275,March 11 1979,,16,Duke University,PHI
35,Christian Wood,PF,6-11,220,September 27 1995,,R,University of Nevada Las Vegas,PHI
IND
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,IND
0,C.J. Miles,SF,6-6,231,April 18 1987,,10,,IND
3,George Hill,PG,6-3,188,May 4 1986,,7,Indiana University-Purdue University Indianapolis,IND
28,Ian Mahinmi,C,6-11,250,November 5 1986,,7,,IND
13,Paul George,PF,6-9,220,May 2 1990,,5,California State University Fresno,IND
44,Solomon Hill,SF,6-7,225,March 18 1991,,2,University of Arizona,IND
33,Myles Turner,C,6-11,243,March 24 1996,,R,University of Texas at Austin,IND
11,Monta Ellis,SG,6-3,185,October 26 1985,,10,,IND
5,Lavoy Allen,PF,6-9,255,February 4 1989,,4,Temple University,IND
2,Rodney Stuckey,PG,6-5,205,April 21 1986,,8,Eastern Washington University,IND
27,Jordan Hill,PF,6-10,235,July 27 1987,,6,University of Arizona,IND
