,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS
22,1610612756.0,Phoenix Suns,82.0,62.0,20.0,0.756,48.2,40.9,85.6,0.477,9.7,24.7,0.393,19.0,25.4,0.748,11.8,32.3,44.1,23.5,13.7,7.0,5.5,4.2,19.1,0.0,110.4,7.1,10.0,Phoenix Suns
23,1610612757.0,Portland Trail Blazers,82.0,27.0,55.0,0.329,48.1,35.3,78.3,0.451,5.1,14.2,0.362,17.2,23.7,0.725,11.8,29.3,41.1,21.0,16.0,7.1,6.6,5.0,20.8,0.0,92.9,-4.0,10.0,Portland Trail Blazers
24,1610612758.0,Sacramento Kings,82.0,50.0,32.0,0.61,48.4,39.1,85.1,0.459,6.4,17.0,0.374,19.2,24.4,0.787,12.5,29.9,42.4,24.5,13.1,8.2,3.9,4.5,20.5,0.0,103.7,2.2,10.0,Sacramento Kings
25,1610612759.0,San Antonio Spurs,82.0,59.0,23.0,0.72,48.3,35.6,78.7,0.453,6.2,17.0,0.363,18.7,25.9,0.724,12.0,30.4,42.4,21.6,13.7,7.5,6.6,5.1,20.9,0.0,96.2,7.8,10.0,San Antonio Spurs
26,1610612760.0,Seattle SuperSonics,82.0,52.0,30.0,0.634,48.2,35.1,79.2,0.444,8.1,22.2,0.365,20.5,26.0,0.79,12.7,28.2,40.9,18.1,13.6,6.7,4.1,4.8,23.7,0.0,98.9,2.3,10.0,Seattle SuperSonics
27,1610612761.0,Toronto Raptors,82.0,33.0,49.0,0.402,48.3,36.0,81.2,0.444,7.9,20.5,0.385,19.8,25.6,0.774,10.3,29.8,40.1,20.4,13.3,7.6,3.9,4.4,22.9,0.0,99.7,-1.6,10.0,Toronto Raptors
28,1610612762.0,Utah Jazz,82.0,26.0,56.0,0.317,48.2,34.5,76.8,0.449,3.0,9.3,0.328,21.0,27.7,0.757,12.8,27.4,40.1,22.3,15.8,6.6,4.6,5.8,26.7,0.0,93.0,-4.3,10.0,Utah Jazz
29,1610612764.0,Washington Wizards,82.0,45.0,37.0,0.549,48.2,36.2,82.8,0.436,6.3,18.3,0.343,21.9,30.2,0.725,13.8,29.0,42.8,19.1,14.3,8.7,4.2,5.0,22.0,0.0,100.5,-0.3,10.0,Washington Wizards
0,1610612738.0,Boston Celtics,7.0,3.0,4.0,0.429,48.7,32.9,74.3,0.442,4.9,14.9,0.327,17.1,22.7,0.755,10.3,29.1,39.4,16.6,15.3,8.4,6.4,6.6,25.4,0.0,87.7,-0.6,10.0,Boston Celtics
1,1610612741.0,Chicago Bulls,6.0,2.0,4.0,0.333,48.0,35.5,84.7,0.419,9.0,23.2,0.388,22.5,31.2,0.722,14.2,30.3,44.5,21.7,15.2,6.3,5.0,6.5,29.2,0.0,102.5,-1.8,10.0,Chicago Bulls
2,1610612742.0,Dallas Mavericks,13.0,6.0,7.0,0.462,48.4,38.1,84.2,0.452,6.6,17.5,0.379,22.4,28.5,0.786,14.4,29.1,43.5,17.5,13.2,7.2,5.1,5.9,22.7,0.0,105.2,-1.6,10.0,Dallas Mavericks
3,1610612743.0,Denver Nuggets,5.0,1.0,4.0,0.2,49.0,32.8,78.6,0.417,2.2,8.4,0.262,22.4,30.4,0.737,10.2,29.2,39.4,16.4,13.0,6.4,5.8,7.0,27.0,0.0,90.2,-10.2,10.0,Denver Nuggets
4,1610612765.0,Detroit Pistons,25.0,15.0,10.0,0.6,48.4,34.5,79.0,0.437,4.5,13.9,0.326,16.8,22.6,0.742,12.4,29.9,42.3,20.5,12.2,7.3,6.1,5.5,21.0,0.0,90.3,4.7,10.0,Detroit Pistons
5,1610612745.0,Houston Rockets,7.0,3.0,4.0,0.429,48.0,35.0,75.1,0.466,7.1,17.7,0.403,20.4,25.9,0.79,10.7,27.0,37.7,18.0,14.3,7.3,5.9,4.9,24.7,0.0,97.6,-2.7,10.0,Houston Rockets
6,1610612754.0,Indiana Pacers,13.0,6.0,7.0,0.462,48.4,28.8,73.0,0.395,5.6,17.8,0.316,20.7,26.4,0.784,10.9,29.2,40.1,18.0,15.1,8.1,5.9,6.6,22.0,0.0,84.0,-2.9,10.0,Indiana Pacers
7,1610612763.0,Memphis Grizzlies,4.0,0.0,4.0,0.0,48.0,41.5,87.8,0.473,7.8,19.8,0.392,12.0,17.0,0.706,11.8,27.8,39.5,21.0,10.8,5.8,4.5,7.8,24.5,0.0,102.8,-11.0,10.0,Memphis Grizzlies
8,1610612748.0,Miami Heat,15.0,11.0,4.0,0.733,48.7,36.0,73.1,0.492,6.0,15.5,0.388,20.0,29.9,0.668,8.3,33.3,41.6,18.9,15.3,5.5,5.7,3.4,24.5,0.0,98.0,4.3,10.0,Miami Heat
9,1610612751.0,New Jersey Nets,4.0,0.0,4.0,0.0,50.5,33.5,84.8,0.395,6.3,21.5,0.291,23.5,31.3,0.752,13.0,29.8,42.8,21.3,13.0,7.5,1.3,3.5,30.8,0.0,96.8,-12.8,10.0,New Jersey Nets
10,1610612755.0,Philadelphia 76ers,5.0,1.0,4.0,0.2,49.0,34.8,79.6,0.437,6.6,19.4,0.34,14.6,20.4,0.716,9.6,25.2,34.8,19.8,12.8,8.6,4.0,6.4,21.8,0.0,90.8,-8.0,10.0,Philadelphia 76ers
11,1610612756.0,Phoenix Suns,15.0,9.0,6.0,0.6,48.3,41.8,84.8,0.493,8.6,19.7,0.436,19.8,25.8,0.767,12.1,31.1,43.1,20.5,12.9,6.1,6.3,4.9,20.1,0.0,112.0,4.2,10.0,Phoenix Suns
12,1610612758.0,Sacramento Kings,5.0,1.0,4.0,0.2,48.0,38.4,86.2,0.445,5.8,20.8,0.279,19.6,24.6,0.797,13.0,23.0,36.0,20.2,11.2,6.2,4.0,4.8,25.8,0.0,102.2,-4.4,10.0,Sacramento Kings
13,1610612759.0,San Antonio Spurs,23.0,16.0,7.0,0.696,48.4,34.7,76.5,0.454,7.1,18.3,0.389,20.4,28.0,0.727,12.3,29.7,42.1,18.4,14.5,5.6,5.8,5.9,21.9,0.0,96.9,4.3,10.0,San Antonio Spurs
14,1610612760.0,Seattle SuperSonics,11.0,6.0,5.0,0.545,48.0,35.5,77.5,0.458,4.8,15.7,0.306,22.8,28.5,0.799,12.6,27.6,40.3,16.2,13.8,6.5,4.5,5.1,26.1,0.0,98.5,-1.7,10.0,Seattle SuperSonics
15,1610612764.0,Washington Wizards,10.0,4.0,6.0,0.4,48.0,35.1,82.6,0.425,5.6,18.8,0.298,24.6,33.8,0.728,12.9,29.9,42.8,17.2,13.7,8.2,5.8,5.4,25.4,0.0,100.4,-2.5,10.0,Washington Wizards
0,1610612737.0,Atlanta Hawks,82.0,26.0,56.0,0.317,48.5,35.9,79.2,0.454,5.2,14.1,0.367,20.2,26.9,0.75,13.0,27.2,40.3,19.8,15.7,7.2,4.8,5.1,25.0,22.6,97.2,-4.8,10.0,Atlanta Hawks
