SEASON_ID,TEAM_ID,GROUP_SET,PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3
41996,1610612741,Players,70,Steve Kerr,82,69,13,0.841,23.4,3.0,5.7,0.533,1.3,2.9,0.464,0.7,0.8,0.806,0.4,1.2,1.6,2.1,0.5,0.8,0.0,0.1,1.2,0.0,8.1,4.8,0,0
41996,1610612741,Players,389,Toni Kukoc,57,50,7,0.877,29.3,5.0,10.6,0.471,0.9,2.6,0.331,2.4,3.1,0.77,1.6,2.9,4.6,4.5,1.6,1.1,0.5,0.4,1.7,0.0,13.2,8.3,5,0
41996,1610612739,Players,226,Antonio Lang,64,32,32,0.5,13.8,1.1,2.5,0.42,0.0,0.1,0.0,0.5,0.8,0.729,0.8,1.2,2.0,0.5,0.8,0.5,0.5,0.3,1.7,0.0,2.7,0.0,0,0
41996,1610612739,Players,682,Bob Sura,82,42,40,0.512,28.8,3.1,7.2,0.431,0.6,2.0,0.323,2.4,3.9,0.614,0.9,2.8,3.8,4.8,2.2,1.1,0.4,0.6,2.5,0.1,9.2,0.1,5,0
41996,1610612739,Players,184,Bobby Phills,69,36,33,0.522,35.5,4.8,11.1,0.428,1.2,3.1,0.394,1.8,2.5,0.718,0.9,2.6,3.6,3.4,2.0,1.6,0.3,0.7,2.3,0.0,12.6,1.6,1,0
41996,1610612739,Players,1063,Carl Thomas,19,13,6,0.684,4.2,0.5,1.3,0.375,0.1,0.6,0.167,0.1,0.1,1.0,0.2,0.5,0.7,0.4,0.3,0.1,0.1,0.0,0.3,0.0,1.1,-0.8,0,0
41996,1610612739,Players,168,Chris Mills,80,41,39,0.513,41.0,5.1,11.2,0.453,1.1,2.8,0.391,2.2,2.6,0.842,1.5,4.7,6.2,2.5,1.5,1.1,0.5,0.6,2.7,0.0,13.4,2.7,8,0
41996,1610612739,Players,198,Danny Ferry,82,42,40,0.512,33.2,4.2,9.7,0.429,1.4,3.5,0.401,0.9,1.1,0.851,1.0,3.1,4.1,1.8,1.1,0.7,0.4,0.3,2.7,0.0,10.6,1.8,0,0
41996,1610612739,Players,681,Donny Marshall,56,25,31,0.446,10.4,0.9,2.9,0.325,0.6,1.6,0.379,0.7,1.0,0.704,0.4,0.9,1.3,0.4,0.6,0.4,0.1,0.2,1.0,0.0,3.1,-2.0,0,0
41996,1610612739,Players,770,Mark West,70,36,34,0.514,14.2,1.4,2.6,0.556,0.0,0.0,0.0,0.4,0.8,0.482,1.0,1.7,2.7,0.3,0.7,0.2,0.8,0.3,1.8,0.0,3.2,0.6,1,0
41996,1610612739,Players,1002,Reggie Geary,39,22,17,0.564,6.5,0.6,1.5,0.379,0.2,0.5,0.381,0.1,0.3,0.455,0.1,0.3,0.4,0.9,0.4,0.3,0.1,0.0,0.9,0.0,1.5,0.5,0,0
41996,1610612739,Players,1035,Shawnelle Scott,16,4,12,0.25,3.3,0.5,1.0,0.5,0.0,0.0,0.0,0.3,0.7,0.364,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,1.3,0.1,0,0
41996,1610612739,Players,210,Terrell Brandon,78,40,38,0.513,38.0,7.4,16.8,0.438,1.3,3.5,0.373,3.4,3.8,0.902,0.6,3.2,3.9,6.3,2.3,1.8,0.4,0.3,2.1,0.0,19.5,1.6,8,0
41996,1610612739,Players,238,Tyrone Hill,74,40,34,0.541,36.0,4.8,8.0,0.6,0.0,0.0,0.0,3.3,5.1,0.633,3.5,6.4,9.9,1.2,2.0,0.9,0.4,1.0,3.2,0.0,12.9,3.3,34,0
41996,1610612739,Players,958,Vitaly Potapenko,80,40,40,0.5,16.1,2.3,5.3,0.44,0.0,0.0,0.5,1.2,1.6,0.736,1.3,1.4,2.7,0.5,1.4,0.3,0.4,0.5,2.4,0.1,5.8,-0.5,0,0
41996,1610612742,Players,920,A.C. Green,56,15,41,0.268,35.7,3.1,6.4,0.486,0.0,0.3,0.059,1.7,2.7,0.651,3.4,5.9,9.3,0.9,1.0,0.9,0.3,0.5,1.9,0.0,7.9,-4.0,15,0
41996,1610612742,Players,423,Chris Gatling,44,16,28,0.364,28.0,7.0,13.2,0.533,0.0,0.1,0.167,5.0,7.1,0.706,2.9,5.0,7.9,0.6,2.6,0.8,0.7,0.8,2.6,0.1,19.1,-1.4,15,0
41996,1610612742,Players,157,Derek Harper,75,23,52,0.307,30.6,4.0,9.0,0.444,0.8,2.3,0.341,1.3,1.7,0.742,0.4,1.4,1.8,4.3,1.8,1.2,0.2,0.2,1.9,0.0,10.0,-3.9,3,0
41996,1610612742,Players,709,Ed O'Bannon,19,3,16,0.158,9.5,0.9,3.8,0.236,0.1,0.5,0.1,0.6,0.6,0.917,0.5,1.4,1.9,0.6,0.3,0.3,0.1,0.3,0.9,0.0,2.4,-1.9,0,0
41996,1610612742,Players,376,Eric Montross,47,16,31,0.34,21.5,1.9,4.0,0.463,0.0,0.0,0.0,0.2,0.7,0.294,1.4,3.6,5.0,0.7,1.1,0.2,0.7,0.4,2.7,0.0,3.9,-4.4,0,0
41996,1610612742,Players,1065,Erick Strickland,28,8,20,0.286,27.8,3.6,9.1,0.398,1.0,3.3,0.304,2.3,2.9,0.813,0.8,2.5,3.2,2.4,2.4,1.0,0.2,0.5,2.5,0.0,10.6,-2.5,0,0
41996,1610612742,Players,122,Fred Roberts,12,4,8,0.333,3.6,0.5,1.3,0.4,0.0,0.0,0.0,0.8,1.2,0.714,0.2,0.7,0.8,0.0,0.4,0.0,0.1,0.3,0.2,0.0,1.8,-0.7,0,0
