,SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,CFID,CFPARAMS
5,42014,1610612742,Dallas Mavericks,5,1,4,0.2,240.0,106.1,108.6,-2.5,0.51,1.49,15.3,0.281,0.751,0.507,0.137,0.493,0.534,104.44,0.476,10,Dallas Mavericks
6,42014,1610612744,Golden State Warriors,21,16,5,0.762,1023.0,106.4,97.4,9.0,0.642,1.68,18.4,0.262,0.753,0.511,0.151,0.521,0.55,96.09,0.547,10,Golden State Warriors
7,42014,1610612745,Houston Rockets,17,9,8,0.529,816.0,103.9,106.9,-2.9,0.586,1.41,16.0,0.238,0.744,0.494,0.149,0.505,0.544,103.82,0.485,10,Houston Rockets
8,42014,1610612746,Los Angeles Clippers,14,7,7,0.5,677.0,105.9,105.3,0.6,0.57,1.71,16.8,0.213,0.75,0.486,0.129,0.515,0.548,100.68,0.513,10,Los Angeles Clippers
9,42014,1610612763,Memphis Grizzlies,11,6,5,0.545,528.0,100.2,102.0,-1.8,0.57,1.85,16.2,0.237,0.772,0.499,0.116,0.451,0.503,94.33,0.508,10,Memphis Grizzlies
10,42014,1610612749,Milwaukee Bucks,6,2,4,0.333,298.0,90.0,101.0,-11.0,0.595,1.54,15.5,0.239,0.735,0.466,0.134,0.419,0.455,95.74,0.416,10,Milwaukee Bucks
11,42014,1610612740,New Orleans Pelicans,4,0,4,0.0,197.0,104.1,111.6,-7.6,0.612,1.72,17.8,0.249,0.691,0.475,0.139,0.491,0.536,94.64,0.464,10,New Orleans Pelicans
12,42014,1610612757,Portland Trail Blazers,5,1,4,0.2,240.0,99.0,106.1,-7.1,0.497,1.43,13.7,0.222,0.781,0.498,0.122,0.455,0.504,94.74,0.436,10,Portland Trail Blazers
13,42014,1610612759,San Antonio Spurs,7,3,4,0.429,341.0,106.7,104.4,2.3,0.631,1.99,18.2,0.248,0.786,0.509,0.125,0.505,0.536,96.34,0.493,10,San Antonio Spurs
14,42014,1610612761,Toronto Raptors,4,0,4,0.0,197.0,95.4,112.5,-17.0,0.531,1.63,15.1,0.19,0.73,0.444,0.119,0.459,0.493,96.92,0.382,10,Toronto Raptors
15,42014,1610612764,Washington Wizards,10,6,4,0.6,485.0,103.3,98.4,5.0,0.619,1.59,17.4,0.268,0.772,0.528,0.148,0.497,0.533,97.29,0.53,10,Washington Wizards
0,42015,1610612737,Atlanta Hawks,5,3,2,0.6,245.0,97.0,91.9,5.1,0.598,1.59,16.4,0.211,0.783,0.511,0.134,0.467,0.506,100.6,0.548,10,Atlanta Hawks
1,42015,1610612738,Boston Celtics,5,2,3,0.4,245.0,91.9,97.0,-5.1,0.64,1.45,16.3,0.217,0.789,0.489,0.148,0.439,0.48,100.6,0.452,10,Boston Celtics
2,42015,1610612766,Charlotte Hornets,5,3,2,0.6,240.0,100.6,105.7,-5.1,0.421,1.53,12.0,0.188,0.768,0.458,0.097,0.442,0.506,93.1,0.456,10,Charlotte Hornets
3,42015,1610612739,Cleveland Cavaliers,4,4,0,1.0,192.0,115.8,107.4,8.4,0.571,2.59,18.1,0.245,0.816,0.521,0.095,0.546,0.569,88.9,0.526,10,Cleveland Cavaliers
4,42015,1610612742,Dallas Mavericks,5,1,4,0.2,240.0,99.3,117.7,-18.4,0.582,1.75,16.6,0.215,0.655,0.426,0.125,0.474,0.511,94.79,0.39,10,Dallas Mavericks
5,42015,1610612765,Detroit Pistons,4,0,4,0.0,192.0,107.4,115.8,-8.4,0.604,2.07,18.6,0.184,0.755,0.479,0.119,0.537,0.559,88.9,0.474,10,Detroit Pistons
6,42015,1610612744,Golden State Warriors,4,3,1,0.75,192.0,107.6,91.0,16.6,0.717,1.87,20.3,0.243,0.73,0.492,0.151,0.534,0.563,102.13,0.629,10,Golden State Warriors
7,42015,1610612745,Houston Rockets,4,1,3,0.25,192.0,91.0,107.6,-16.6,0.545,0.95,13.6,0.27,0.757,0.508,0.187,0.45,0.487,102.13,0.371,10,Houston Rockets
8,42015,1610612754,Indiana Pacers,5,2,3,0.4,240.0,102.7,100.1,2.6,0.58,1.31,15.7,0.236,0.676,0.465,0.157,0.485,0.543,93.19,0.527,10,Indiana Pacers
9,42015,1610612746,Los Angeles Clippers,4,2,2,0.5,192.0,101.7,96.6,5.1,0.5,1.9,14.8,0.228,0.714,0.474,0.102,0.475,0.502,95.73,0.538,10,Los Angeles Clippers
10,42015,1610612763,Memphis Grizzlies,4,0,4,0.0,192.0,89.3,111.9,-22.6,0.516,1.06,13.6,0.288,0.773,0.494,0.171,0.423,0.455,91.35,0.328,10,Memphis Grizzlies
11,42015,1610612748,Miami Heat,5,2,3,0.4,240.0,105.7,100.6,5.1,0.522,1.52,15.8,0.232,0.812,0.542,0.136,0.515,0.55,93.1,0.544,10,Miami Heat
12,42015,1610612760,Oklahoma City Thunder,5,4,1,0.8,240.0,117.7,99.3,18.4,0.543,1.65,16.4,0.345,0.785,0.574,0.137,0.537,0.585,94.79,0.61,10,Oklahoma City Thunder
13,42015,1610612757,Portland Trail Blazers,4,2,2,0.5,192.0,96.6,101.7,-5.1,0.62,1.52,16.2,0.286,0.772,0.526,0.146,0.441,0.482,95.73,0.462,10,Portland Trail Blazers
14,42015,1610612759,San Antonio Spurs,4,4,0,1.0,192.0,111.9,89.3,22.6,0.581,1.56,17.7,0.227,0.712,0.506,0.149,0.552,0.597,91.35,0.672,10,San Antonio Spurs
15,42015,1610612761,Toronto Raptors,5,3,2,0.6,240.0,100.1,102.7,-2.6,0.476,1.1,12.6,0.324,0.764,0.535,0.15,0.441,0.502,93.19,0.473,10,Toronto Raptors
