ATL,2005
6,Manny Harris,SG,6-5,185,September 21 1989,1,University of Michigan,CLE,2012
5,Ryan Hollins,C,7-0,240,October 10 1984,5,University of California Los Angeles,CLE,2012
14,Lester Hudson,PG,6-3,190,August 7 1984,2,University of Tennessee at Martin,CLE,2012
2,Kyrie Irving,PG,6-3,193,March 23 1992,R,Duke University,CLE,2012
4,Antawn Jamison,PF,6-8,223,June 12 1976,13,University of North Carolina,CLE,2012
12,D.J. Kennedy,SF,6-6,215,November 5 1989,R,St. John's University,CLE,2012
18,Anthony Parker,SF,6-6,215,June 19 1975,8,Bradley University,CLE,2012
24,Samardo Samuels,C,6-9,260,January 9 1989,1,University of Louisville,CLE,2012
3,Ramon Sessions,PG,6-3,190,April 11 1986,4,University of Nevada Reno,CLE,2012
15,Donald Sloan,PG,6-3,205,January 15 1988,R,Texas A&amp;M University,CLE,2012
21,Mychel Thompson,SG,6-6,211,June 1 1988,R,Pepperdine University,CLE,2012
13,Tristan Thompson,PF,6-9,238,March 13 1991,R,University of Texas at Austin,CLE,2012
6,Ben Uzoh,PG,6-3,205,March 19 1988,1,University of Tulsa,CLE,2012
17,Anderson Varejao,C,6-10,273,September 28 1982,7,,CLE,2012
32,Luke Walton,PF,6-8,235,March 28 1980,8,University of Arizona,CLE,2012
CLE,2013
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,CLE,2013
36,Omri Casspi,SF,6-9,225,June 22 1988,3,,CLE,2013
21,Wayne Ellington,SG,6-4,200,October 29 1987,3,University of North Carolina,CLE,2013
33,Alonzo Gee,SF,6-6,225,May 29 1987,3,University of Alabama,CLE,2013
1,Daniel Gibson,PG,6-2,190,February 27 1986,6,University of Texas at Austin,CLE,2013
2,Kyrie Irving,PG,6-3,193,March 23 1992,1,Duke University,CLE,2013
5,Kevin Jones,PF,6-8,251,August 25 1989,R,West Virginia University,CLE,2013
30,Jon Leuer,C,6-10,228,May 14 1989,1,University of Wisconsin,CLE,2013
14,Shaun Livingston,PG,6-7,182,September 11 1985,7,,CLE,2013
0,C.J. Miles,SF,6-6,231,April 18 1987,7,,CLE,2013
8,Jeremy Pargo,PG,6-2,219,March 17 1986,1,Gonzaga University,CLE,2013
20,Chris Quinn,SG,6-2,185,September 27 1983,5,University of Notre Dame,CLE,2013
24,Samardo Samuels,C,6-9,260,January 9 1989,2,University of Louisville,CLE,2013
15,Donald Sloan,SG,6-3,205,January 15 1988,1,Texas A&amp;M University,CLE,2013
15,Marreese Speights,C,6-10,255,August 4 1987,4,University of Florida,CLE,2013
13,Tristan Thompson,PF,6-9,238,March 13 1991,1,University of Texas at Austin,CLE,2013
17,Anderson Varejao,C,6-10,273,September 28 1982,8,,CLE,2013
3,Dion Waiters,SG,6-4,225,December 10 1991,R,Syracuse University,CLE,2013
4,Luke Walton,PF,6-8,235,March 28 1980,9,University of Arizona,CLE,2013
40,Tyler Zeller,C,7-0,253,January 17 1990,R,University of North Carolina,CLE,2013
CLE,2014
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,CLE,2014
15,Anthony Bennett,PF,6-8,245,March 14 1993,R,University of Nevada Las Vegas,CLE,2014
21,Andrew Bynum,C,7-0,285,October 27 1987,7,,CLE,2014
6,Earl Clark,PF,6-10,225,January 17 1988,4,University of Louisville,CLE,2014
31,Seth Curry,PG,6-2,185,August 23 1990,R,Duke University,CLE,2014
8-9,Matthew Dellavedova,SG,6-4,198,September 8 1990,R,Saint Mary's College of California,CLE,2014
9,Luol Deng,SF,6-9,220,April 16 1985,9,Duke University,CLE,2014
24,Shane Edwards,SF,6-7,220,May 31 1987,R,University of Arkansas at Little Rock,CLE,2014
30,Carrick Felix,SG,6-6,201,August 17 1990,R,Arizona State University,CLE,2014
33,Alonzo Gee,SF,6-6,225,May 29 1987,4,University of Alabama,CLE,2014
32,Spencer Hawes,C,7-1,245,April 28 1988,6,University of Washington,CLE,2014
24,Scotty Hopson,SG,6-7,204,August 8 1989,R,University of Tennessee,CLE,2014
2,Kyrie Irving,PG,6-3,193,March 23 1992,2,Duke University,CLE,2014
1,Jarrett Jack,PG,6-3,200,October 28 1983,8,Georgia Institute of Technology,CLE,2014
10,Sergey Karasev,SF,6-7,208,October 26 1993,R,,CLE,2014
0,C.J. Miles,SG,6-6,231,April 18 1987,8,,CLE,2014
50,Arinze Onuaku,PF,6-9,275,July 13 1987,R,Syracuse University,CLE,2014
14,Henry Sims,C,6-10,248,March 27 1990,1,Georgetown University,CLE,2014
13,Tristan Thompson,PF,6-9,238,March 13 1991,2,University of Texas at Austin,CLE,2014
17,Anderson Varejao,C,6-10,273,September 28 1982,9,,CLE,2014
3,Dion Waiters,SG,6-4,225,December 10 1991,1,Syracuse University,CLE,2014
40,Tyler Zeller,C,7-0,253,January 17 1990,1,University of North Carolina,CLE,2014
CLE,2015
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,CLE,2015
89,Lou Amundson,PF,6-9,220,December 7 1982,8,University of Nevada Las Vegas,CLE,2015
5,Will Cherry,PG,6-0,185,February 8 1991,R,University of Montana,CLE,2015
8,Matthew Dellavedova,SG,6-4,198,September 8 1990,1,Saint Mary's College of California,CLE,2015
12,Joe Harris,SG,6-6,219,September 7 1991,R,University of Virginia,CLE,2015
33,Brendan Haywood,C,7-0,268,November 27 1979,12,University of North Carolina,CLE,2015
2,Kyrie Irving,PG,6-3,193,March 23 1992,3,Duke University,CLE,2015
23,LeBron James,SF,6-8,250,December 30 1984,11,,CLE,2015
1,James Jones,SF,6-8,218,October 4 1980,11,University of Miami,CLE,2015
53,Alex Kirk,C,7-0,245,November 14 1991,R,University of New Mexico,CLE,2015
0,Kevin Love,PF,6-10,251,September 7 1988,6,University of California Los Angeles,CLE,2015
31,Shawn Marion,SF,6-7,220,May 7 1978,15,University of Nevada Las Vegas,CLE,2015
18,Mike Miller,SF,6-8,218,February 19 1980,14,University of Florida,CLE,2015
20,Timofey Mozgov,C,7-1,275,July 16 1986,4,,CLE,2015
3,Kendrick Perkins,C,6-10,270,November 10 1984,11,,CLE,2015
21,A.J. Price,PG,6-2,181,October 7 1986,5,University of Connecticut,CLE,2015
4,Iman Shumpert,SG,6-5,220,June 26 1990,3,Georgia Institute of Technology,CLE,2015
5,J.R. Smith,SG,6-6,225,September 9 1985,10,,CLE,2015
13,Tristan Thompson,PF,6-9,238,March 13 1991,3,University of Texas at Austin,CLE,2015
17,Anderson Varejao,C,6-10,273,September 28 1982,10,,CLE,2015
3,Dion Waiters,SG,6-4,225,December 10 1991,2,Syracuse University,CLE,2015
DAL,2005
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DAL,2005
10,Darrell Armstrong,PG,6-0,170,June 22 1968,10,Fayetteville State University,DAL,2005
52,Calvin Booth,C,6-11,230,May 7 1976,5,Pennsylvania State University,DAL,2005
44,Shawn Bradley,C,7-6,235,March 22 1972,11,Brigham Young University,DAL,2005
25,Erick Dampier,C,6-11,265,July 14 1975,8,Mississippi State University,DAL,2005
6,Marquis Daniels,SG,6-6,200,January 7 1981,1,Auburn University,DAL,2005
21,Dan Dickau,PG,6-0,190,September 16 1978,2,Gonzaga University,DAL,2005
4,Michael Finley,SG,6-7,215,March 6 1973,9,University of Wisconsin,DAL,2005
34,Devin Harris,PG,6-3,192,February 27 1983,R,University of Wisconsin,DAL,2005
50,Alan Henderson,PF,6-9,235,December 2 1972,9,Indiana University,DAL,2005
5,Josh Howard,SF,6-7,210,April 28 1980,1,Wake Forest University,DAL,2005
28,Didier Ilunga-Mbenga,C,7-0,245,December 30 1980,R,,DAL,2005
41,Dirk Nowitzki,PF,7-0,245,June 19 1978,6,,DAL,2005
24,Pavel Podkolzin,C,7-5,260,January 15 1985,R,,DAL,2005
42,Jerry Stackhouse,SG,6-6,218,November 5 1974,9,University of North Carolina,DAL,2005
31,Jason Terry,PG,6-2,185,September 15 1977,5,University of Arizona,DAL,2005
2,Keith Van Horn,PF,6-10,220,October 23 1975,7,University of Utah,DAL,2005
DAL,2006
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DAL,2006
10,Darrell Armstrong,PG,6-0,170,June 22 1968,11,Fayetteville State University,DAL,2006
13,Doug Christie,SG,6-6,200,May 9 1970,13,Pepperdine University,DAL,2006
25,Erick Dampier,C,6-11,265,July 14 1975,9,Mississippi State University,DAL,2006
6,Marquis Daniels,SG,6-6,200,January 7 1981,2,Auburn University,DAL,2006
7,DeSagana Diop,C,7-0,300,January 30 1982,4,,DAL,2006
44,Adrian Griffin,SG,6-5,217,July 4 1974,6,Seton Hall University,DAL,2006
34,Devin Harris,PG,6-3,192,February 27 1983,1,University of Wisconsin,DAL,2006
5,Josh Howard,SF,6-7,210,April 28 1980,2,Wake Forest University,DAL,2006
28,Didier Ilunga-Mbenga,C,7-0,245,December 30 1980,1,,DAL,2006
1,Rawle Marshall,SF,6-9,190,February 20 1982,R,Oakland University,DAL,2006
41,Dirk Nowitzki,PF,7-0,245,June 19 1978,7,,DAL,2006
24,Pavel Podkolzin,C,7-5,260,January 15 1985,1,,DAL,2006
33,Josh Powell,PF,6-9,225,January 25 1983,R,North Carolina State University,DAL,2006
42,Jerry Stackhouse,SG,6-6,218,November 5 1974,10,University of North Carolina,DAL,2006
31,Jason Terry,PG,6-2,185,September 15 1977,6,University of Arizona,DAL,2006
2,Keith Van Horn,SF,6-10,220,October 23 1975,8,University of Utah,DAL,2006
DAL,2007
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DAL,2007
13,Maurice Ager,SG,6-5,202,February 9 1984,R,Michigan State University,DAL,2007
11,J.J. Barea,PG,6-0,185,June 26 1984,R,Northeastern University,DAL,2007
1,Greg Buckner,SG,6-4,210,September 16 1976,7,Clemson University,DAL,2007
44,Austin Croshere,PF,6-9,235,May 1 1975,9,Providence College,DAL,2007
25,Erick Dampier,C,6-11,265,July 14 1975,10,Mississippi State University,DAL,2007
7,DeSagana Diop,C,7-0,300,January 30 1982,5,,DAL,2007
40,Devean George,SF,6-8,220,August 29 1977,7,Augsburg College,DAL,2007
34,Devin Harris,PG,6-3,192,February 27 1983,2,University of Wisconsin,DAL,2007
5,Josh Howard,SF,6-7,210,April 28 1980,3,Wake Forest University,DAL,2007
28,Didier Ilunga-Mbenga,C,7-0,245,December 30 1980,2,,DAL,2007
8,Anthony Johnson,PG,6-3,190,October 2 1974,9,College of Charleston,DAL,2007
21,Pops Mensah-Bonsu,PF,6-9,240,September 7 1983,R,George Washington University,DAL,2007
41,Dirk Nowitzki,PF,7-0,245,June 19 1978,8,,DAL,2007
42,Jerry Stackhouse,SF,6-6,218,November 5 1974,11,University of North Carolina,DAL,2007
31,Jason Terry,SG,6-2,185,September 15 1977,7,University of Arizona,DAL,2007
45,Kevin Willis,PF,7-0,220,September 6 1962,20,Michigan State University,DAL,2007
DAL,2008
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DAL,2008
13,Maurice Ager,SG,6-5,202,February 9 1984,1,Michigan State University,DAL,2008
30,Malik Allen,PF,6-10,255,June 27 1978,6,Villanova University,DAL,2008
11,J.J. Barea,PG,6-0,185,June 26 1984,1,Northeastern University,DAL,2008
32,Brandon Bass,C,6-8,250,April 30 1985,2,Louisiana State University,DAL,2008
25,Erick Dampier,C,6-11,265,July 14 1975,11,Mississippi State University,DAL,2008
7,DeSagana Diop,C,7-0,300,January 30 1982,6,,DAL,2008
20,Nick Fazekas,PF,6-11,235,June 17 1985,R,University of Nevada Reno,DAL,2008
40,Devean George,SF,6-8,220,August 29 1977,8,Augsburg College,DAL,2008
34,Devin Harris,PG,6-3,192,February 27 1983,3,University of Wisconsin,DAL,2008
23,Trenton Hassell,SG,6-5,200,March 4 1979,6,Austin Peay State University,DAL,2008
5,Josh Howard,SF,6-7,210,April 28 1980,4,Wake Forest University,DAL,2008
55,Juwan Howard,PF,6-9,240,February 7 1973,13,University of Michigan,DAL,2008
6,Eddie Jones,SG,6-6,190,October 20 1971,13,Temple University,DAL,2008
2,Jason Kidd,PG,6-4,205,March 23 1973,13,University of California,DAL,2008
10,Tyronn Lue,PG,6-0,175,May 3 1977,9,University of Nebraska,DAL,2008
20,Jamaal Magloire,C,6-11,259,May 21 1978,7,University of Kentucky,DAL,2008
41,Dirk Nowitzki,PF,7-0,245,June 19 1978,9,,DAL,2008
42,Jerry Stackhouse,SG,6-6,218,November 5 1974,12,University of North Carolina,DAL,2008
31,Jason Terry,SG,6-2,185,September 15 1977,8,University of Arizona,DAL,2008
21,Antoine Wright,SG,6-7,210,February 6 1984,2,Texas A&amp;M University,DAL,2008
DAL,2009
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DAL,2009
11,J.J. Barea,SG,6-0,185,June 26 1984,2,Northeastern University,DAL,2009
32,Brandon Bass,C,6-8,250,April 30 1985,3,Louisiana State University,DAL,2009
13,Matt Carroll,SG,6-6,212,August 28 1980,5,University of Notre Dame,DAL,2009
25,Erick Dampier,C,6-11,265,July 14 1975,12,Mississippi State University,DAL,2009
7,DeSagana Diop,C,7-0,300,January 30 1982,7,,DAL,2009
40,Devean George,SF,6-8,220,August 29 1977,9,Augsburg College,DAL,2009
8,Gerald Green,SG,6-7,205,January 26 1986,3,,DAL,2009
1,Ryan Hollins,C,7-0,240,October 10 1984,2,University of California Los Angeles,DAL,2009
5,Josh Howard,SF,6-7,210,April 28 1980,5,Wake Forest University,DAL,2009
2,Jason Kidd,PG,6-4,205,March 23 1973,14,University of California,DAL,2009
41,Dirk Nowitzki,PF,7-0,245,June 19 1978,10,,DAL,2009
33,James Singleton,PF,6-8,216,July 20 1981,2,Murray State University,DAL,2009
42,Jerry Stackhouse,SG,6-6,218,November 5 1974,13,University of North Carolina,DAL,2009
31,Jason Terry,SG,6-2,185,September 15 1977,9,University of Arizona,DAL,2009
4,Shawne Williams,SF,6-9,225,February 16 1986,2,University of Memphis,DAL,2009
21,Antoine Wright,SF,6-7,210,February 6 1984,3,Texas A&amp;M University,DAL,2009
DAL,2010
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DAL,2010
11,J.J. Barea,PG,6-0,185,June 26 1984,3,Northeastern University,DAL,2010
3,Rodrigue Beaubois,PG,6-0,170,February 24 1988,R,,DAL,2010
4,Caron Butler,SG,6-7,228,March 13 1980,7,University of Connecticut,DAL,2010
13,Matt Carroll,SG,6-6,212,August 28 1980,6,University of Notre Dame,DAL,2010
25,Erick Dampier,C,6-11,265,July 14 1975,13,Mississippi State University,DAL,2010
90,Drew Gooden,C,6-10,250,September 24 1981,7,University of Kansas,DAL,2010
33,Brendan Haywood,C,7-0,268,November 27 1979,8,University of North Carolina,DAL,2010
5,Josh Howard,SF,6-7,210,April 28 1980,6,Wake Forest University,DAL,2010
43,Kris Humphries,PF,6-9,235,February 6 1985,5,University of Minnesota,DAL,2010
2,Jason Kidd,PG,6-4,205,March 23 1973,15,University of California,DAL,2010
0,Shawn Marion,SF,6-7,220,May 7 1978,10,University of Nevada Las Vegas,DAL,2010
14,Eduardo Najera,PF,6-8,240,July 11 1976,9,University of Oklahoma,DAL,2010
41,Dirk Nowitzki,PF,7-0,245,June 19 1978,11,,DAL,2010
6,Quinton Ross,SF,6-6,195,April 30 1981,5,Southern Methodist University,DAL,2010
33,James Singleton,SF,6-8,216,July 20 1981,3,Murray State University,DAL,2010
92,DeShawn Stevenson,SG,6-5,210,April 3 1981,9,,DAL,2010
31,Jason Terry,SG,6-2,185,September 15 1977,10,University of Arizona,DAL,2010
7,Tim Thomas,SF,6-10,230,February 26 1977,12,Villanova University,DAL,2010
DAL,2011
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DAL,2011
8,Alexis Ajinca,C,7-2,248,May 6 1988,2,,DAL,2011
11,J.J. Barea,PG,6-0,185,June 26 1984,4,Northeastern University,DAL,2011
3,Rodrigue Beaubois,PG,6-0,170,February 24 1988,1,,DAL,2011
13,Corey Brewer,SG,6-9,186,March 5 1986,3,University of Florida,DAL,2011
4,Caron Butler,SF,6-7,228,March 13 1980,8,University of Connecticut,DAL,2011
35,Brian Cardinal,SF,6-8,245,May 2 1977,10,Purdue University,DAL,2011
6,Tyson Chandler,C,7-1,240,October 2 1982,9,,DAL,2011
33,Brendan Haywood,C,7-0,268,November 27 1979,9,University of North Carolina,DAL,2011
20,Dominique Jones,SG,6-4,215,October 15 1988,R,University of South Florida,DAL,2011
2,Jason Kidd,PG,6-4,205,March 23 1973,16,University of California,DAL,2011
28,Ian Mahinmi,C,6-11,250,November 5 1986,2,,DAL,2011
0,Shawn Marion,SF,6-7,220,May 7 1978,11,University of Nevada Las Vegas,DAL,2011
21,Steve Novak,SF,6-10,225,June 13 1983,4,Marquette University,DAL,2011
41,Dirk Nowitzki,PF,7-0,245,June 19 1978,12,,DAL,2011
7,Sasha Pavlovic,SF,6-8,220,November 15 1983,7,,DAL,2011
92,DeShawn Stevenson,SG,6-5,210,April 3 1981,10,,DAL,2011
16,Peja Stojakovic,SF,6-9,220,June 9 1977,12,,DAL,2011
31,Jason Terry,SG,6-2,185,September 15 1977,11,University of Arizona,DAL,2011
DAL,2012
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DAL,2012
4,Kelenna Azubuike,SG,6-5,220,December 16 1983,4,University of Kentucky,DAL,2012
3,Rodrigue Beaubois,PG,6-0,170,February 24 1988,2,,DAL,2012
35,Brian Cardinal,SF,6-8,245,May 2 1977,11,Purdue University,DAL,2012
25,Vince Carter,SG,6-6,220,January 26 1977,13,University of North Carolina,DAL,2012
33,Brendan Haywood,C,7-0,268,November 27 1979,10,University of North Carolina,DAL,2012
9,Yi Jianlian,PF,7-0,238,October 27 1987,4,,DAL,2012
20,Dominique Jones,SG,6-4,215,October 15 1988,1,University of South Florida,DAL,2012
2,Jason Kidd,PG,6-4,205,March 23 1973,17,University of California,DAL,2012
28,Ian Mahinmi,C,6-11,250,November 5 1986,3,,DAL,2012
0,Shawn Marion,SF,6-7,220,May 7 1978,12,University of Nevada Las Vegas,DAL,2012
41,Dirk Nowitzki,PF,7-0,245,June 19 1978,13,,DAL,2012
7,Lamar Odom,SF,6-10,220,November 6 1979,12,University of Rhode Island,DAL,2012
31,Jason Terry,SG,6-2,185,September 15 1977,12,University of Arizona,DAL,2012
13,Delonte West,PG,6-4,180,July 26 1983,7,Saint Joseph's University,DAL,2012
32,Sean Williams,C,6-10,235,September 13 1986,3,Boston College,DAL,2012
34,Brandan Wright,C,6-10,210,October 5 1987,3,University of North Carolina,DAL,2012
DAL,2013
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DAL,2013
10,Josh Akognon,PG,5-11,185,February 10 1986,R,California State University Fullerton,DAL,2013
3,Rodrigue Beaubois,PG,6-0,170,February 24 1988,3,,DAL,2013
42,Elton Brand,C,6-8,275,March 11 1979,13,Duke University,DAL,2013
25,Vince Carter,SF,6-6,220,January 26 1977,14,University of North Carolina,DAL,2013
4,Darren Collison,PG,6-0,175,August 23 1987,3,University of California Los Angeles,DAL,2013
9,Jae Crowder,SF,6-6,235,July 6 1990,R,Marquette University,DAL,2013
1,Jared Cunningham,SG,6-4,195,May 22 1991,R,Oregon State University,DAL,2013
52,Eddy Curry,C,7-0,295,December 5 1982,10,,DAL,2013
7,Justin Dentmon,PG,5-11,185,September 5 1985,1,University of Washington,DAL,2013
17,Chris Douglas-Roberts,SG,6-7,200,January 8 1987,3,University of Memphis,DAL,2013
6,Derek Fisher,PG,6-1,200,August 9 1974,16,University of Arkansas at Little Rock,DAL,2013
5,Bernard James,C,6-10,240,February 7 1985,R,Florida State University,DAL,2013
13,Mike James,PG,6-2,188,June 23 1975,10,Duquesne University,DAL,2013
30,Dahntay Jones,SF,6-6,225,December 27 1980,9,Duke University,DAL,2013
20,Dominique Jones,PG,6-4,215,October 15 1988,2,University of South Florida,DAL,2013
35,Chris Kaman,C,7-0,265,April 28 1982,9,Central Michigan University,DAL,2013
0,Shawn Marion,PF,6-7,220,May 7 1978,13,University of Nevada Las Vegas,DAL,2013
32,O.J. Mayo,SG,6-5,210,November 5 1987,4,University of Southern California,DAL,2013
23,Anthony Morrow,SG,6-5,210,September 27 1985,4,Georgia Institute of Technology,DAL,2013
6,Troy Murphy,PF,6-11,245,May 2 1980,11,University of Notre Dame,DAL,2013
41,Dirk Nowitzki,PF,7-0,245,June 19 1978,14,,DAL,2013
34,Brandan Wright,C,6-10,210,October 5 1987,4,University of North Carolina,DAL,2013
8,Chris Wright,SG,6-1,210,November 4 1989,R,Georgetown University,DAL,2013
DAL,2014
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DAL,2014
45,DeJuan Blair,PF,6-7,270,April 22 1989,4,University of Pittsburgh,DAL,2014
8,Jose Calderon,PG,6-3,200,September 28 1981,8,,DAL,2014
25,Vince Carter,SG,6-6,220,January 26 1977,15,University of North Carolina,DAL,2014
9,Jae Crowder,SF,6-6,235,July 6 1990,1,Marquette University,DAL,2014
1,Samuel Dalembert,C,6-11,255,May 10 1981,11,Seton Hall University,DAL,2014
21,Wayne Ellington,SG,6-4,200,October 29 1987,4,University of North Carolina,DAL,2014
11,Monta Ellis,PG,6-3,185,October 26 1985,8,,DAL,2014
20,Devin Harris,PG,6-3,192,February 27 1983,9,University of Wisconsin,DAL,2014
5,Bernard James,C,6-10,240,February 7 1985,1,Florida State University,DAL,2014
3,Shane Larkin,PG,5-11,175,October 2 1992,R,University of Miami,DAL,2014
7,Ricky Ledo,SG,6-7,195,September 10 1992,R,,DAL,2014
0,Shawn Marion,SF,6-7,220,May 7 1978,14,University of Nevada Las Vegas,DAL,2014
33,Gal Mekel,PG,6-3,191,March 4 1988,R,Wichita State University,DAL,2014
41,Dirk Nowitzki,PF,7-0,245,June 19 1978,15,,DAL,2014
34,Brandan Wright,C,6-10,210,October 5 1987,5,University of North Carolina,DAL,2014
DAL,2015
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DAL,2015
7,Al-Farouq Aminu,SF,6-9,215,September 21 1990,4,Wake Forest University,DAL,2015
5,J.J. Barea,PG,6-0,185,June 26 1984,8,Northeastern University,DAL,2015
6,Tyson Chandler,C,7-1,240,October 2 1982,13,,DAL,2015
9,Jae Crowder,SF,6-6,235,July 6 1990,2,Marquette University,DAL,2015
11,Monta Ellis,SG,6-3,185,October 26 1985,9,,DAL,2015
2,Raymond Felton,PG,6-1,205,June 26 1984,9,University of North Carolina,DAL,2015
20,Devin Harris,PG,6-3,192,February 27 1983,10,University of Wisconsin,DAL,2015
55,Bernard James,C,6-10,240,February 7 1985,2,Florida State University,DAL,2015
24,Richard Jefferson,SF,6-7,233,June 21 1980,13,University of Arizona,DAL,2015
1,Ricky Ledo,SG,6-7,195,September 10 1992,1,,DAL,2015
14,Jameer Nelson,PG,6-0,190,February 9 1982,10,Saint Joseph's University,DAL,2015
41,Dirk Nowitzki,PF,7-0,245,June 19 1978,16,,DAL,2015
25,Chandler Parsons,SF,6-9,227,October 25 1988,3,University of Florida,DAL,2015
8,Dwight Powell,PF,6-11,240,July 20 1991,R,Stanford University,DAL,2015
9,Rajon Rondo,PG,6-1,186,February 22 1986,8,University of Kentucky,DAL,2015
4,Greg Smith,PF,6-10,250,January 8 1991,3,California State University Fresno,DAL,2015
1,Amar'e Stoudemire,PF,6-10,245,November 16 1982,12,,DAL,2015
3,Charlie Villanueva,PF,6-11,232,August 24 1984,9,University of Connecticut,DAL,2015
34,Brandan Wright,PF,6-10,210,October 5 1987,6,University of North Carolina,DAL,2015
DEN,2005
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DEN,2005
15,Carmelo Anthony,SF,6-8,240,May 29 1984,1,Syracuse University,DEN,2005
11,Earl Boykins,PG,5-5,135,June 2 1976,6,Eastern Michigan University,DEN,2005
7,Greg Buckner,SG,6-4,210,September 16 1976,5,Clemson University,DEN,2005
23,Marcus Camby,C,6-11,220,March 22 1974,8,University of Massachusetts Amherst,DEN,2005
56,Francisco Elson,C,7-0,235,February 28 1976,1,University of California,DEN,2005
12,Luis Flores,PG,6-2,200,April 11 1981,R,Manhattan College,DEN,2005
31,Nene Hilario,C,6-11,250,September 13 1982,2,,DEN,2005
3,DerMarr Johnson,SG,6-9,201,May 5 1980,3,University of Cincinnati,DEN,2005
1,Voshon Lenard,SG,6-4,205,May 14 1973,9,University of Minnesota,DEN,2005
6,Kenyon Martin,PF,6-9,234,December 30 1977,4,University of Cincinnati,DEN,2005
24,Andre Miller,PG,6-3,200,March 19 1976,5,University of Utah,DEN,2005
21,Eduardo Najera,PF,6-8,240,July 11 1976,4,University of Oklahoma,DEN,2005
10,Wesley Person,SF,6-6,195,March 28 1971,10,Auburn University,DEN,2005
41,Mark Pope,PF,6-10,235,September 11 1972,5,University of Kentucky,DEN,2005
9,Bryon Russell,SF,6-7,225,December 31 1970,11,California State University Long Beach,DEN,2005
22,Nikoloz Tskitishvili,PF,7-0,225,April 14 1983,2,,DEN,2005
5,Rodney White,SF,6-9,238,June 28 1980,3,University of North Carolina at Charlotte,DEN,2005
DEN,2006
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DEN,2006
15,Carmelo Anthony,SF,6-8,240,May 29 1984,2,Syracuse University,DEN,2006
11,Earl Boykins,PG,5-5,135,June 2 1976,7,Eastern Michigan University,DEN,2006
7,Greg Buckner,SG,6-4,210,September 16 1976,6,Clemson University,DEN,2006
23,Marcus Camby,C,6-11,220,March 22 1974,9,University of Massachusetts Amherst,DEN,2006
10,Howard Eisley,PG,6-2,177,December 4 1972,11,Boston College,DEN,2006
56,Francisco Elson,C,7-0,235,February 28 1976,2,University of California,DEN,2006
30,Reggie Evans,PF,6-8,245,May 18 1980,3,University of Iowa,DEN,2006
31,Nene Hilario,PF,6-11,250,September 13 1982,3,,DEN,2006
32,Julius Hodge,SG,6-7,210,November 18 1983,R,North Carolina State University,DEN,2006
3,DerMarr Johnson,SG,6-9,201,May 5 1980,4,University of Cincinnati,DEN,2006
43,Linas Kleiza,PF,6-8,245,January 3 1985,R,University of Missouri,DEN,2006
1,Voshon Lenard,SG,6-4,205,May 14 1973,10,University of Minnesota,DEN,2006
6,Kenyon Martin,PF,6-9,234,December 30 1977,5,University of Cincinnati,DEN,2006
24,Andre Miller,PG,6-3,200,March 19 1976,6,University of Utah,DEN,2006
21,Eduardo Najera,PF,6-8,240,July 11 1976,5,University of Oklahoma,DEN,2006
22,Ruben Patterson,SG,6-5,224,July 31 1975,7,University of Cincinnati,DEN,2006
9,Bryon Russell,SF,6-7,225,December 31 1970,12,California State University Long Beach,DEN,2006
5,Charles Smith,SG,6-4,194,August 22 1975,4,University of New Mexico,DEN,2006
8,Earl Watson,PG,6-1,195,June 12 1979,4,University of California Los Angeles,DEN,2006
DEN,2007
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DEN,2007
15,Carmelo Anthony,SF,6-8,240,May 29 1984,3,Syracuse University,DEN,2007
25,Steve Blake,PG,6-3,172,February 26 1980,3,University of Maryland,DEN,2007
11,Earl Boykins,PG,5-5,135,June 2 1976,8,Eastern Michigan University,DEN,2007
23,Marcus Camby,C,6-11,220,March 22 1974,10,University of Massachusetts Amherst,DEN,2007
4,Anthony Carter,PG,6-1,190,June 16 1975,7,University of Hawaii,DEN,2007
5,Yakhouba Diawara,SG,6-7,225,August 29 1982,R,Pepperdine University,DEN,2007
30,Reggie Evans,PF,6-8,245,May 18 1980,4,University of Iowa,DEN,2007
31,Nene Hilario,C,6-11,250,September 13 1982,4,,DEN,2007
32,Julius Hodge,SG,6-7,210,November 18 1983,1,North Carolina State University,DEN,2007
3,Allen Iverson,SG,6-0,165,June 7 1975,10,Georgetown University,DEN,2007
3-8,DerMarr Johnson,SF,6-9,201,May 5 1980,5,University of Cincinnati,DEN,2007
