ATL,2005
3,Al Harrington,PF,6-9,230,February 17 1980,7,,ATL,2006
36,Royal Ivey,PG,6-3,200,December 20 1981,1,University of Texas at Austin,ATL,2006
2,Joe Johnson,SG,6-7,240,June 29 1981,4,University of Arkansas,ATL,2006
10,Tyronn Lue,PG,6-0,175,May 3 1977,7,University of Nebraska,ATL,2006
27,Zaza Pachulia,C,6-11,270,February 10 1984,2,,ATL,2006
15,Donta Smith,SG,6-7,215,November 27 1983,1,Southeastern Illinois College,ATL,2006
5,Josh Smith,SF,6-9,225,December 5 1985,1,,ATL,2006
20,Salim Stoudamire,SG,6-1,179,October 11 1982,R,University of Arizona,ATL,2006
12,John Thomas,C,6-9,265,September 8 1975,4,University of Minnesota,ATL,2006
24,Marvin Williams,PF,6-9,237,June 19 1986,R,University of North Carolina,ATL,2006
ATL,2007
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,ATL,2007
11,Esteban Batista,PF,6-10,270,September 2 1983,1,,ATL,2007
6,Cedric Bozeman,SG,6-6,207,March 7 1983,R,University of California Los Angeles,ATL,2007
1,Josh Childress,SG,6-8,210,June 20 1983,2,Stanford University,ATL,2007
12,Speedy Claxton,PG,5-11,166,May 8 1978,5,Hofstra University,ATL,2007
4,Matt Freije,PF,6-10,240,October 2 1981,1,Vanderbilt University,ATL,2007
36,Royal Ivey,PG,6-3,200,December 20 1981,2,University of Texas at Austin,ATL,2007
8,Anthony Johnson,PG,6-3,190,October 2 1974,9,College of Charleston,ATL,2007
2,Joe Johnson,SG,6-7,240,June 29 1981,5,University of Arkansas,ATL,2007
44,Solomon Jones,PF,6-10,230,July 16 1984,R,University of South Florida,ATL,2007
10,Tyronn Lue,PG,6-0,175,May 3 1977,8,University of Nebraska,ATL,2007
14,Stanislav Medvedenko,C,6-10,250,April 4 1979,6,,ATL,2007
27,Zaza Pachulia,C,6-11,270,February 10 1984,3,,ATL,2007
32,Jeremy Richardson,SG,6-6,185,February 11 1984,R,Delta State University,ATL,2007
5,Josh Smith,SF,6-9,225,December 5 1985,2,,ATL,2007
20,Salim Stoudamire,SG,6-1,179,October 11 1982,1,University of Arizona,ATL,2007
7,Dijon Thompson,SF,6-7,195,February 23 1983,1,University of California Los Angeles,ATL,2007
24,Marvin Williams,PF,6-9,237,June 19 1986,1,University of North Carolina,ATL,2007
33,Shelden Williams,PF,6-9,250,October 21 1983,R,Duke University,ATL,2007
42,Lorenzen Wright,C,6-11,225,November 4 1975,10,University of Memphis,ATL,2007
ATL,2008
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,ATL,2008
10,Mike Bibby,PG,6-1,190,May 13 1978,9,University of Arizona,ATL,2008
1,Josh Childress,SF,6-8,210,June 20 1983,3,Stanford University,ATL,2008
