SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,CFID,CFPARAMS
41997,1610612755,Philadelphia 76ers,82,31,51,0.378,3951,99.7,102.7,-3,0.609,1.28,16.4,0.325,0.673,0.497,0.177,0.462,0.514,93.02,0.478,10,Philadelphia 76ers
41997,1610612756,Phoenix Suns,82,56,26,0.683,3997,104.5,98.8,5.7,0.677,1.72,19.4,0.297,0.7,0.504,0.158,0.5,0.54,93.95,0.547,10,Phoenix Suns
41997,1610612757,Portland Trail Blazers,82,46,36,0.561,3966,100.8,99.5,1.3,0.612,1.28,16.8,0.33,0.714,0.529,0.18,0.476,0.524,92.79,0.512,10,Portland Trail Blazers
41997,1610612758,Sacramento Kings,82,27,55,0.329,3946,98.1,103.8,-5.7,0.621,1.44,17.1,0.302,0.666,0.479,0.163,0.464,0.502,94.77,0.458,10,Sacramento Kings
41997,1610612759,San Antonio Spurs,82,56,26,0.683,3966,101.5,96.2,5.3,0.635,1.4,17.9,0.306,0.722,0.527,0.176,0.493,0.531,90.88,0.551,10,San Antonio Spurs
41997,1610612760,Seattle SuperSonics,82,61,21,0.744,3953,108.5,100.4,8.1,0.651,1.73,18.9,0.287,0.661,0.477,0.151,0.521,0.558,92.45,0.544,10,Seattle SuperSonics
41997,1610612761,Toronto Raptors,82,16,66,0.195,3986,98.5,107.7,-9.2,0.589,1.27,16.1,0.321,0.629,0.469,0.173,0.462,0.504,95.35,0.431,10,Toronto Raptors
41997,1610612762,Utah Jazz,82,62,20,0.756,3956,109.3,102.3,7,0.692,1.64,19.5,0.323,0.71,0.529,0.166,0.51,0.569,91.86,0.571,10,Utah Jazz
41997,1610612763,Vancouver Grizzlies,82,19,63,0.232,3966,101.1,109.3,-8.2,0.652,1.4,18,0.314,0.669,0.492,0.179,0.482,0.527,94.6,0.452,10,Vancouver Grizzlies
41997,1610612764,Washington Wizards,82,42,40,0.512,3961,102.2,101.6,0.6,0.617,1.64,17.6,0.312,0.695,0.497,0.148,0.476,0.513,94.46,0.507,10,Washington Wizards
41998,1610612737,Atlanta Hawks,50,31,19,0.62,2415,96.9,93.9,3,0.507,1.05,13.2,0.33,0.721,0.527,0.167,0.436,0.492,88.4,0.525,10,Atlanta Hawks
41998,1610612738,Boston Celtics,50,19,31,0.38,2430,97.6,99.7,-2.1,0.591,1.33,16.5,0.306,0.694,0.494,0.169,0.469,0.501,94.05,0.473,10,Boston Celtics
41998,1610612766,Charlotte Hornets,50,26,24,0.52,2430,100,99.2,0.8,0.664,1.39,17.8,0.244,0.695,0.479,0.171,0.485,0.537,92.12,0.511,10,Charlotte Hornets
41998,1610612741,Chicago Bulls,50,13,37,0.26,2414,89.8,100.1,-10.2,0.661,1.31,16.5,0.268,0.717,0.481,0.17,0.424,0.47,90.69,0.42,10,Chicago Bulls
41998,1610612739,Cleveland Cavaliers,50,22,28,0.44,2410,96.7,98.5,-1.9,0.7,1.39,18.1,0.251,0.69,0.473,0.176,0.464,0.52,89.07,0.493,10,Cleveland Cavaliers
41998,1610612742,Dallas Mavericks,50,19,31,0.38,2415,99.3,102.2,-2.9,0.527,1.33,14.9,0.298,0.691,0.493,0.15,0.459,0.502,91.57,0.474,10,Dallas Mavericks
41998,1610612743,Denver Nuggets,50,14,36,0.28,2405,100.2,106.8,-6.5,0.576,1.31,15.4,0.301,0.692,0.49,0.158,0.459,0.511,93.32,0.442,10,Denver Nuggets
41998,1610612765,Detroit Pistons,50,29,21,0.58,2410,101.2,97.9,3.3,0.608,1.28,16.6,0.305,0.72,0.512,0.177,0.48,0.528,88.7,0.515,10,Detroit Pistons
41998,1610612744,Golden State Warriors,50,21,29,0.42,2425,95.1,98.7,-3.6,0.599,1.35,16,0.352,0.704,0.524,0.165,0.434,0.471,91.47,0.466,10,Golden State Warriors
41998,1610612745,Houston Rockets,50,31,19,0.62,2415,102.5,100.1,2.4,0.603,1.3,17.1,0.278,0.699,0.503,0.177,0.506,0.545,91.31,0.523,10,Houston Rockets
41998,1610612754,Indiana Pacers,50,33,17,0.66,2420,105.6,101,4.6,0.581,1.55,16.6,0.287,0.699,0.497,0.145,0.486,0.537,89.08,0.526,10,Indiana Pacers
41998,1610612746,Los Angeles Clippers,50,9,41,0.18,2425,96.6,107,-10.4,0.479,1.03,13.3,0.306,0.669,0.477,0.17,0.454,0.497,92.17,0.402,10,Los Angeles Clippers
41998,1610612747,Los Angeles Lakers,50,31,19,0.62,2410,104.6,101.2,3.3,0.595,1.45,17,0.305,0.702,0.508,0.159,0.498,0.538,94.34,0.527,10,Los Angeles Lakers
41998,1610612748,Miami Heat,50,33,17,0.66,2405,102,96,6,0.631,1.37,17.3,0.273,0.71,0.507,0.171,0.494,0.54,87.2,0.56,10,Miami Heat
41998,1610612749,Milwaukee Bucks,50,28,22,0.56,2410,102.4,99.5,2.9,0.588,1.43,17,0.29,0.676,0.486,0.161,0.489,0.53,89.59,0.512,10,Milwaukee Bucks
41998,1610612750,Minnesota Timberwolves,50,25,25,0.5,2405,98.5,98.2,0.4,0.663,1.9,18.2,0.325,0.702,0.499,0.136,0.439,0.481,94.12,0.493,10,Minnesota Timberwolves
