SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PTS,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
42011,1610612739,Cleveland Cavaliers,66,21,45,0.318,48.4,34.3,81.2,0.422,6.7,19.3,0.346,17.8,24.9,0.716,12.7,29.5,42.3,19.8,15.4,7.1,4.0,6.2,20.0,93.0,-7.2,98.1,106.0,-7.9,0.579,1.29,15.6,0.289,0.722,0.497,0.162,0.463,0.505,93.96,0.439
42011,1610612742,Dallas Mavericks,66,36,30,0.545,48.7,36.3,82.0,0.443,7.5,22.2,0.339,15.6,20.2,0.771,10.1,32.7,42.8,20.9,14.0,8.6,5.1,4.0,18.6,95.8,1.0,101.0,99.7,1.3,0.575,1.49,16.6,0.234,0.748,0.493,0.148,0.489,0.527,93.64,0.51
42011,1610612743,Denver Nuggets,66,38,28,0.576,48.6,39.0,81.9,0.476,6.6,19.9,0.332,19.6,26.7,0.735,11.2,31.9,43.1,24.0,15.4,8.2,5.0,6.7,19.7,104.1,2.9,106.5,103.4,3.1,0.615,1.56,18.0,0.277,0.743,0.517,0.157,0.516,0.556,96.65,0.527
42011,1610612765,Detroit Pistons,66,25,41,0.379,48.4,34.7,79.3,0.438,4.8,13.9,0.346,16.6,22.1,0.752,11.7,28.5,40.3,18.7,15.7,7.0,4.2,5.3,19.6,90.9,-4.8,97.8,104.0,-6.2,0.538,1.19,15.1,0.281,0.728,0.497,0.168,0.468,0.51,91.73,0.448
42011,1610612744,Golden State Warriors,66,23,43,0.348,48.2,37.7,82.5,0.457,7.9,20.5,0.388,14.4,18.7,0.77,9.7,29.5,39.2,22.3,13.9,8.0,5.5,5.0,21.4,97.8,-3.4,103.1,106.0,-3.0,0.591,1.61,17.6,0.229,0.691,0.461,0.146,0.505,0.539,94.71,0.472
42011,1610612745,Houston Rockets,66,34,32,0.515,48.7,37.7,84.0,0.449,7.2,20.2,0.359,15.4,19.7,0.782,11.7,30.5,42.2,21.3,14.5,7.5,4.8,5.2,20.4,98.1,0.2,102.7,102.1,0.6,0.564,1.47,16.6,0.275,0.734,0.502,0.152,0.492,0.529,94.32,0.497
42011,1610612754,Indiana Pacers,66,42,24,0.636,48.5,35.7,81.4,0.438,5.9,16.1,0.368,20.4,26.1,0.782,12.5,31.4,43.9,18.6,14.0,7.9,5.4,6.0,21.7,97.7,3.3,103.5,100.4,3.1,0.522,1.33,14.8,0.292,0.723,0.509,0.148,0.474,0.526,93.35,0.521
42011,1610612746,Los Angeles Clippers,66,40,26,0.606,48.4,37.0,81.3,0.455,7.8,21.8,0.357,15.8,23.3,0.68,12.1,29.4,41.6,21.0,13.3,8.4,4.8,4.5,21.2,97.5,2.6,105.2,102.9,2.2,0.568,1.58,16.7,0.295,0.732,0.511,0.144,0.502,0.533,91.79,0.517
42011,1610612747,Los Angeles Lakers,66,41,25,0.621,48.7,36.8,80.6,0.457,5.5,16.8,0.326,18.2,24.1,0.756,12.1,34.1,46.2,22.5,15.1,5.9,5.3,4.6,16.8,97.3,1.4,103.3,101.7,1.7,0.611,1.49,17.5,0.291,0.748,0.53,0.16,0.491,0.534,92.93,0.524
42011,1610612763,Memphis Grizzlies,66,41,25,0.621,48.3,36.7,82.2,0.447,4.2,12.9,0.326,17.3,22.8,0.759,12.6,29.5,42.0,19.5,14.5,9.6,5.2,5.5,19.9,95.0,2.0,101.0,98.9,2.1,0.532,1.35,15.5,0.298,0.727,0.508,0.154,0.473,0.515,93.43,0.514
