SEASON_ID,TEAM_ID,GROUP_SET,PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER
41996,1610612766,Players,175,Alton Lister,53,8,45,0.151,10.1,0.6,1.5,0.416,0.0,0.0,0.0,0.4,0.6,0.742,1.2,1.9,3.2,0.2,0.6,0.2,0.3,0.1,1.5,0.0,1.6,-2.2,0,0,7.65713015363
41996,1610612766,Players,952,Antoine Walker,82,15,67,0.183,37.4,7.0,16.5,0.426,0.6,1.9,0.327,2.8,4.5,0.631,3.5,5.5,9.0,3.2,2.8,1.3,0.6,1.5,3.1,0.0,17.5,-6.8,33,2,16.9751007738
41996,1610612766,Players,1136,Brett Szabo,70,11,59,0.157,9.8,0.8,1.7,0.446,0.0,0.0,0.0,0.6,0.9,0.738,0.8,1.6,2.4,0.2,0.6,0.2,0.5,0.2,1.6,0.0,2.2,-2.4,1,0,8.74590202295
41996,1610612766,Players,344,Dana Barros,24,6,18,0.25,30.2,4.6,10.5,0.435,1.8,4.4,0.41,1.5,1.8,0.86,0.2,1.8,2.0,3.4,1.6,1.1,0.3,0.5,1.3,0.0,12.5,-4.0,0,0,16.2649573643
41996,1610612766,Players,133,David Wesley,74,13,61,0.176,41.7,6.2,13.2,0.468,1.4,3.9,0.36,3.0,3.9,0.781,0.9,2.7,3.6,7.3,2.9,2.2,0.2,0.8,2.8,0.0,16.8,-5.5,15,0,18.7489895709
41996,1610612766,Players,244,Dee Brown,21,4,17,0.19,25.5,2.9,7.9,0.367,1.0,3.1,0.308,0.9,1.0,0.818,0.4,1.9,2.3,3.2,1.1,1.5,0.3,0.3,2.1,0.0,7.6,-3.1,0,0,12.7930947771
41996,1610612766,Players,129,Dino Radja,25,6,19,0.24,36.1,6.0,13.6,0.44,0.0,0.0,0.0,2.0,2.8,0.718,1.8,6.7,8.4,1.9,2.8,0.9,1.9,1.1,2.8,0.1,14.0,-2.8,7,0,13.8049391269
41996,1610612766,Players,677,Eric Williams,72,13,59,0.181,34.8,5.2,11.4,0.456,0.0,0.1,0.25,4.6,6.1,0.752,1.7,2.8,4.6,1.8,1.9,1.0,0.2,1.2,2.7,0.0,15.0,-5.3,3,0,14.8548900849
41996,1610612766,Players,783,Frank Brickowski,17,5,12,0.294,15.5,1.9,4.3,0.438,0.4,1.2,0.35,0.6,0.8,0.714,0.4,1.6,2.0,0.9,1.1,0.3,0.2,0.2,2.4,0.0,4.8,-7.0,0,0,6.61618695388
41996,1610612766,Players,65,Greg Minor,23,6,17,0.261,24.8,4.1,8.5,0.48,0.0,0.3,0.125,1.3,1.6,0.861,1.3,2.2,3.5,1.5,1.0,0.7,0.1,0.7,1.8,0.0,9.6,-0.7,0,0,14.4096285102
